c	Clostridia	Actinomycetia	Verrucomicrobiae	Negativicutes	Bacilli	Methanobacteria	Coriobacteriia	Bacteroidia	Gammaproteobacteria
Healthy	1.21357804935372	-0.0318206967250459	-5	-1.72422809983507	-1.33236029394359	-5	-0.62845190731615	1.80403694856363	-0.759026648159996
Healthy	0.33969584950589	-5	-0.259479413946335	-5	-1.88840147511961	-5	-5	1.96760834270013	0.631860613368897
Healthy	1.51071574552102	-0.209510758477563	-0.410754324947494	0.0857185951654024	-0.293982431100993	-5	-0.890455199121653	1.69670438392489	0.408553697586891
Healthy	1.64177295694328	-1.94195376960472	-5	0.0614600188564993	-0.984305011473482	-5	-5	1.71218039327238	0.411840163863845
D015179	1.60414674928967	0.703546719795101	0.913109406533394	0.429123793669563	-0.0714454134424935	-1.85016530328421	-0.593544983696508	1.37893199084481	-0.223393238119126
D015179	1.4581785380773	0.89114424042001	1.08216794633625	0.303267353647092	-5	-5	-0.832948641262119	1.57915455716245	-0.178211440023786
Healthy	0.539787206963553	-5	-5	-5	-5	-5	-5	1.85173953724011	0.387935910763123
Healthy	1.66372004899893	1.0392010841612	-5	0.74992946410767	-5	-5	-5	1.42350882927382	-5
Healthy	1.84136516505698	-0.27049503818861	-1.02807505081581	0.118615195569278	0.190037398989312	-0.731024418902193	-0.777309535288659	1.15158158231486	-0.138346129786089
Healthy	0.942225394038726	-0.302273857453656	0.940097926231087	-0.336176622715236	-5	-5	-0.596862313373619	1.76379227371666	-0.267831488311101
Healthy	1.77264422665499	-0.390426932551334	-5	0.0313438202620874	-0.460296761052174	-0.951092298516229	0.187811093428112	1.34524587426771	0.236373488494027
Healthy	0.853369020778802	1.41013957536425	-5	-5	-0.34356637993405	-5	0.119206384805907	-0.446736102130203	-5
Healthy	1.16590402368497	-5	-5	-5	-0.268346780304104	-5	-5	1.90515172992153	-5
Healthy	1.67775710506271	-0.71092412110178	1.27927923620624	-5	-0.720538390742327	-5	0.567358139248078	1.30818415943938	-3.24412514432751
D015179	1.7064435527166	1.10392715247535	0.143645475092963	-0.72736948410596	1.0616688184521	-5	0.546397051715521	0.995179604532095	-0.0842309340163159
Healthy	-0.601487100636577	0.856310098713071	-3.39794000867204	-1.45568385825257	-1.69550947222651	-5	-2.58335949266172	1.46048845128655	1.74098454857805
Healthy	1.29462822967002	1.02448197330695	1.07807637190583	-1.79344395590097	0.0735093989447644	-5	-0.105949913325857	1.58838141538367	-0.241648360659185
Healthy	1.72806664688125	-0.229648819820771	0.449879338623202	-0.332603088723377	0.374258801735391	-0.683463552596444	-0.375810756140244	1.47030565369035	-0.00818049869410116
D015179	1.05613920901154	-1.070274621622	1.62225351191023	-0.683652171266902	-5	-5	-5	1.56930261391434	-5
Healthy	1.18056740329026	-5	-5	-5	-0.13499083395651	-5	-2.36251027048749	1.52154105801303	1.54484981487026
Healthy	1.48141123776671	-0.876344325561878	-0.308193814529736	-5	0.275695943772669	0.388704955700738	-5	1.62193708491111	0.867749658122785
Healthy	1.03803448288161	-0.125332675551212	-5	-5	-0.652162790782278	-2.08301995267962	-0.191964671555741	1.8422493624299	0.476666455108599
Healthy	1.7636263758975	-5	-5	-0.409760221691033	-0.465035207605334	-0.672252928747544	-5	1.45822828621146	-0.906333217772097
Healthy	0.383240712265224	-0.733980091146502	-5	1.04397967690349	-5	-5	-5	1.81760403789488	0.0628902051108873
Healthy	1.89740598462153	-3.09151498112135	-5	-0.663660364179217	-1.25266589038409	-5	-0.32176395860447	0.889549319851817	-1.28449805470672
Healthy	1.31392160918484	0.445336383611427	-3.48148606012211	-1.81901441921327	0.192826614678094	-5	0.0459758857632826	1.40084905039548	1.52283713787594
Healthy	0.745483117577596	0.0832624731640772	0.584892955610718	-5	-2.75696195131371	-5	-0.788318923700861	1.8803962977303	-0.128129464579834
D015179	1.65328990780654	0.541490628848425	-5	-1.3040807471686	0.1216976935719	-5	0.0521858780599163	1.423926608889	0.405501742513021
Healthy	1.75178633158743	0.309698286707962	-0.100491382651709	-0.867580201902385	-0.30019694972716	-5	-0.226945306635737	1.44655083564052	0.0640234774529008
D015179	1.28251766121754	0.726939822752556	0.659762221559862	0.747644819328248	-0.446153368273412	-5	0.557341151776318	1.68878863767388	-0.23659447052572
Healthy	0.892972326282529	-0.921361961630327	1.01623542582996	-0.0562186872401727	-1.2185318571582	-5	-0.652026339721962	1.82018917291727	-0.926831737734898
Healthy	1.66820619715723	0.0150410440855053	-5	-0.649345021321921	0.919402906871174	-0.0978066703730758	0.0167743557683439	1.40671301227427	0.363041946961852
Healthy	1.77721404573176	-5	-5	-5	-5	-5	0.254809010414806	1.25929732031192	-5
Healthy	0.938137297650076	-0.918760739088303	-5	-5	-1.13170831198214	-5	-1.44745345204434	1.89530517121279	-0.785076715105102
Healthy	1.36596264140317	-5	-5	-5	-1.16583371605738	-5	-0.91388942619868	1.81245075376518	0.0307534989344725
Healthy	1.09462169057043	0.845592234018708	-0.458782819002195	-0.644625115568388	0.0255802854362789	-1.12389767862221	-0.184820869860581	1.59146586560344	1.17143946128151
Healthy	0.405878868331657	-5	-5	0.555024278341712	-0.63537397104496	-5	-0.880117542015017	1.94824376338362	-0.295652121429059
