g	Blautia_A	Anaerostipes	Dorea	Intestinibacter	Eubacterium_G	Coprococcus_A	Haemophilus_D	Longicatena	Eggerthella	Rothia
Healthy	-0.217613383256889	-1.27392512978463	-0.713902971185518	-5	-0.349915996863236	-0.932966360157738	-2.24033215531037	-5	-5	-5
Healthy	-0.246815418621356	-0.421200394252368	-0.36146082700808	-5	-2.10182351650232	-1.29782804914229	-5	-5	-5	-5
Healthy	-0.476318552199247	-1.46318913400846	-0.417118842027702	-3.29242982390206	-0.764698859680009	-0.392770224919401	-2.72353819582676	-2.76700388960785	-5	-5
Healthy	-1.5066813917679	-5	-5	-5	-2.21324857785444	-5	-0.109238163054912	-5	-5	-5
Healthy	-0.367350405521122	-0.443311631164767	-0.905214532180442	-1.68277265082358	-5	-5	-5	-1.20384212309309	-5	-5
Healthy	-0.641532136123079	-5	-0.424789054916385	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.656138636711361	-5	-1.19172149041723	-0.806096597447253	-1.55767704425443	-1.09339562827502	-0.493089274448482	-5	-5	-5
Healthy	-0.925183559354825	-1.0403386297265	-1.20732821085843	-5	-2.09205147838773	-5	-5	-1.28491632930507	-1.15515019919336	-5
Healthy	-0.854554963862194	-5	-5	-5	-5	-5	-5	-0.9317399062253	-1.73802380860219	-5
Healthy	-0.883060353449244	-0.620549439422019	-1.08555105930145	-2.10182351650232	-2.02548830726267	-1.04561274985548	-0.997315687010271	-2.65955588515988	-5	-5
Healthy	-0.693746579477883	-0.933003579550305	-0.85873840937791	-5	-5	-0.872053357151098	-0.748094229527872	-5	-5	-5
Healthy	0.172270078078213	-0.163334154314773	-0.0570449773398744	-5	0.0444652811259	-5	-0.500587874327725	-1.61385789106918	-5	-3.53760200210104
Healthy	-0.181952348900481	-0.638140007510706	-0.203744914229798	-5	-0.228735972148418	-0.568330728686255	-5	-1.54060751224077	-5	-5
Healthy	-0.937455618653535	-0.651831483974838	-0.869312506017968	-1.81445784514562	-0.935429707755974	-1.33049716589566	-0.567287194874613	-5	-5	-5
Healthy	-0.552237479372507	-0.553571575486734	-0.143603450883531	-5	-0.580192894828501	-5	-0.979017557081581	-1.35763441915503	-3.05551732784983	-5
Healthy	-1.05080522576202	-1.51827080303998	-0.96018944585165	-1.18455508375565	-1.00126128374418	-1.07262963696098	-5	-5	-5	-5
Healthy	-0.751781438809925	-0.815507311471577	-2.49214412830417	-1.93892467637021	-0.244445268742922	-5	-5	-1.64435694977913	-5	-5
Healthy	-0.753772322232685	-5	-5	-1.00868530182339	-5	-5	-1.42250820016277	-5	-5	-5
Healthy	-0.878079214436962	-1.72170379190873	-1.38373459471829	-5	-1.79778422419887	-1.45630436769075	-2.48811663902113	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.808269606637144	-1.65364702554936	-0.879919865870547	-1.42273804641418	-0.0223998433179579	-1.13164950035203	-2.49214412830417	-5	-5	-5
