group	Enterobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Coriobacteriaceae	Veillonellaceae	Lactobacillaceae	Eggerthellaceae	Micrococcaceae		Lachnospiraceae	Rikenellaceae	Bifidobacteriaceae	Dialisteraceae	Coriobacteriaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Eggerthellaceae
Healthy	0	0.05237	0.00808	0	0.22282	0	0	0	0		3.10588	10.13026	0.11984	0	0.22282	0.00808	0	0	0	0
Healthy	1.84899	8.13615	0.07986	0.05317	1.02795	0.2242	0.00811	0.01142	0.02079		25.5392	2.82233	1.01272	0	1.02795	0.07986	0.25338	0.00811	0.07247	0.01142
Healthy	0	0	0	0	0.90246	0	0	0.89561	0		12.06107	6.86182	0	0	0.90246	0	0	0	0	0.89561
Healthy	0.09832	0.03648	0.03735	0	0.03568	0	0	0	0		0.68422	17.3234	0.12056	0	0.03568	0.03735	0	0	0	0
Healthy	0	0	0.06825	0	0.0603	0	0	0.06162	0		18.72938	32.47975	0	0	0.0603	0.06825	0	0	0	0.06162
Healthy	9.39904	0.01927	0.8809	0	0.58354	0.22665	0	0.06985	0.00982		5.48461	19.9503	6.98625	0	0.58354	0.8809	0	0	0.0581	0.06985
Healthy	0.38656	0.20842	0.02311	0	0.13178	0.02526	0	0	0		1.21892	0	0	3.56415	0.13178	0.02311	0	0	0	0
Healthy	2.90482	0.07356	0	0.01034	0	0	0	0	0		11.90134	0	0	0	0	0	0	0	0	0
Healthy	0.09232	0.00636	0.02486	0	0.15204	0.03051	0	0.03016	0		6.58367	13.64793	0.57014	0.35415	0.15204	0.02486	0.0422	0	0	0.03016
Healthy	5.3394	0.01463	0.36328	0.15251	0.00031	0.00921	0.00096	0.05899	0.00036		3.07898	6.54158	0.00488	2.02896	0.00031	0.36328	0	0.00096	0.00271	0.05899
Healthy	0	0	0	0	0.1128	0	0	0	0		1.71238	23.62284	1.06722	0	0.1128	0	0.00402	0	0	0
Healthy	0.00681	0.09888	1.03495	0	0.29588	0.01218	0.65963	0	0		13.19326	2.21498	1.57348	0	0.29588	1.03495	0.001	0.65963	0.08429	0
Healthy	0	1.60955	5.33684	1.99083	0.03785	0	0.04058	0	0		23.45088	0.42047	0	0	0.03785	5.33684	0	0.04058	0.08412	0
Healthy	1.88746	0	0	0	1.00364	0	0	0	0		12.8256	2.76763	29.09458	0	1.00364	0	0	0	0	0
Healthy	0	0	0.43276	0	0	0	0	0	0		11.33591	1.39526	0	0	0	0.43276	0	0	0	0
Healthy	1.43986	0.40837	0.07146	0	0.38453	0	0	0.03878	0		17.3938	4.61983	1.11818	0	0.38453	0.07146	0.02287	0	0.00613	0.03878
Healthy	2.74832	0.09803	0	0.00254	0	0	0	0	0		11.91696	0	0	0	0	0	0	0	0	0
Healthy	0	0.6513	0	0	0	0.08778	0.10779	0	0		28.14546	0.71322	0.05685	6.64189	0	0	0.3539	0.10779	0.04315	0
Healthy	0.07617	0.03125	0.1551	0	0.27859	0.01651	0	0	0		20.27504	6.38827	0.50648	0	0.27859	0.1551	0.17004	0	0.03226	0
Healthy	0	0	0	0.56566	0.14886	0	0	0	0		1.00013	7.37156	0.11493	0	0.14886	0	0	0	0	0
Healthy	0.04198	0.02956	0.0243	0	0.05215	0	0	0	0		0.6717	17.45545	0.09615	0	0.05215	0.0243	0	0	0	0
Healthy	0	0.0161	0	0	0	0.0072	0	0	0		19.14931	5.92174	0.00498	0	0	0	0.03656	0	0	0
