group	Faecalibacterium_sp900539885	Agathobacter_rectalis	Enterocloster_aldenensis	Bariatricus_comes	Blautia_A_wexlerae	Streptococcus_sp001556435	Dorea_formicigenerans	Eubacterium_G_ventriosum	Eubacterium_I_ramulus_A	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Dialister_invisus	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	7.96898	7.59192	1.37173	0	2.42915	6.28444	0.66005	0.38577	0.00782	0.23334	4.19175	0.22769	0	0.21396	0.52544	3.47921	0	0.00713	0	0
Healthy	23.1938	2.07525	0	1.25005	2.24459	0	0.89869	0	0	0.58741	0	0	0	0	0	0	0	0	0	0
Healthy	2.5812	3.03989	1.32783	0.77584	0.35916	0.03255	0.28816	0.43255	0.46466	0.26535	0.31148	2.97466	0	0	1.13762	0	0.10156	0.01162	0.04026	0
Healthy	3.68747	2.40386	1.22485	0.2981	0.93517	0.0434	0.15698	0.1812	0.1627	0.05733	1.72072	0.34482	0	0	4.36243	0	0	0.00911	0	0
Healthy	7.98751	3.76694	0.13632	0.05578	0.15126	0.02557	0.13256	0.1802	0.00697	0.12783	0.09439	0.10648	0	0.30764	0.84118	0	0.02471	0.00232	0.00114	0.02112
D000236	11.5299	11.6006	1.26001	0.66679	2.22629	0.3709	0.16358	0.84957	0.22739	0.43504	3.3287	0.13806	0	0	0	0	0	0	0	0
Healthy	1.11355	6.35985	0.25737	0.6993	0.52206	0.0428	0.17017	0.17161	0.03809	0.04133	4.74226	0.00222	0	0.37442	1.06521	0.00946	0	0	0.02046	0
Healthy	4.47299	1.55742	0.0024	0.02335	0.01875	0.07343	0	0.00203	0	0	12.3903	0.68777	0	2.38969	0.7931	0	0	0.0685	0	0
Healthy	4.26482	0	0.01641	0.03658	0.03836	0.00291	0.06314	0	0	0	1.18547	0.53253	2.48965	0	1.45795	0	0.20337	0	0.013	0
Healthy	5.49425	0	0	3.90069	0.07528	0.494	1.19353	3.61987	0.67598	0	3.99831	0.66503	4.71543	0	0.52809	0	0.06156	0.05296	0.18365	0.05684
Healthy	3.86935	6.15479	1.13025	0.15763	0.53078	0.03485	1.07415	0.5328	1.62433	0	1.72814	8.67704	0.14204	0	1.36225	0	0.0424	0.03209	0.00147	0.04945
Healthy	3.14863	0.32228	0.05766	0.0344	0	0.05079	0	0.03111	0	0	2.60261	0	0	0.08094	1.05331	0.09713	0.02117	1.2697	0	0
