group	Bacteroidota	Actinobacteriota	Proteobacteria		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	27.96087	2.6333	1.15883		27.96087	56.4659	2.6333	1.15883	0.13564	0.79342	0.50095	0	0	
Healthy	66.09812	0.34266	0.11834		66.09812	7.81577	0.34266	0.11834	0.87857	10.3809	0.06045	0	0.33033	
Healthy	25.51014	2.0746	2.30696		25.51014	46.58071	2.0746	2.30696	0.2242	0	8.3062	0.79834	0.07805	
Healthy	18.16758	1.79807	0		18.16758	59.87065	1.79807	0	0	0	0	0	0	
Healthy	78.57875	0.15624	0.16402		78.57875	8.67235	0.15624	0.16402	0	0	0.07383	0	0.0016	
Healthy	64.93079	0.12192	1.07337		64.93079	23.22536	0.12192	1.07337	0	0	0.06825	0	0.40904	
Healthy	39.03604	7.66135	15.09609		39.03604	12.4343	7.66135	15.09609	0.22665	0.3477	1.06066	0.07517	0.18958	
Healthy	88.7654	0.13178	0.50622		88.7654	2.54611	0.13178	0.50622	3.58941	0	0.23153	0	0.00253	
Healthy	79.91048	0	2.98359		79.91048	12.398	0	2.98359	0	0	0.0839	0	0.0383	
Healthy	64.14272	0.75234	1.52766		64.14272	13.57223	0.75234	1.52766	0.38466	0	0.03122	0.17643	0.13826	
Healthy	38.36526	0.07109	5.42452		38.36526	11.91527	0.07109	5.42452	2.03817	1.4567	0.53138	3.08044	0.35495	
Healthy	80.84169	1.18002	0.70627		80.84169	5.40666	1.18002	0.70627	0	3.57301	0	0	0.02838	
Healthy	25.1195	1.86936	0.89157		25.1195	19.94983	1.86936	0.89157	22.53688	0.69873	1.80416	0	0.37016	
Healthy	55.82578	0.03785	0.08336		55.82578	25.20788	0.03785	0.08336	1.47114	0.01236	8.9778	1.90301	0	
Healthy	27.29133	30.09822	3.26884		27.29133	31.31164	30.09822	3.26884	0	1.26245	0	0.42914	0.05407	
