group	Enterobacteriaceae	Pseudomonadaceae	Moraxellaceae	Veillonellaceae	Staphylococcaceae	Actinomycetaceae		Bacteroidaceae	Lachnospiraceae	Rikenellaceae	Ruminococcaceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae
D007234	3.77148	5.83172	5.75174	0.00211	0.12983	0.0795		12.9684	0	0	0	0	0	0	0	0	0
Healthy	0.06157	0	0	0	0	0		54.35535	1.4222	14.5598	1.67666	1.11256	0.17536	0	0	0.00889	0
Healthy	0	0	0	0.02424	0	0		29.52946	4.3198	4.97954	1.132	4.77866	4.53107	5.12769	0.67999	1.06876	0.1094
Healthy	0	0	0	0.00465	0	0		27.07981	38.69933	1.25534	3.44451	6.14159	0.10581	0.39095	0.05868	0.08893	0
Healthy	0	0	0	0	0	0		16.90852	24.09166	1.26871	18.91641	0	11.7396	0	1.71217	0	0
Healthy	0	0	0	0	0	0		39.98426	37.42848	1.04566	0.23802	0.23185	3.13501	0.7484	0	0	0
Healthy	0	0	0	0	0	0		51.95529	14.87514	7.21136	1.42733	1.73586	0	2.78245	0.20882	0.04979	0.05044
Healthy	4.2841	0	0	0	0	0		92.81289	0.64545	0	1.45529	0	0	0	0	0.08548	0
Healthy	0	0	0	0	0	0		33.16603	20.44622	10.80823	11.38099	3.41828	0.49975	1.35632	0.12154	0.08577	0.10707
Healthy	0.27184	0	0	0.52418	0	0		51.54426	11.94382	0	31.38395	0	0.25985	0	0	0.24252	0
Healthy	2.0968	0	0	0	0	0		36.08333	2.68635	11.04018	0.55691	20.8589	0	3.09629	0	0.2224	0.03142
Healthy	0	0	0	0	0	0		24.83972	32.47023	0.61666	7.30624	0	6.32555	1.05966	0	0	0
Healthy	0.09698	0	0	0.00396	0	0		6.66863	51.48479	5.54226	16.07999	1.4179	1.73318	0.15532	0.15766	0.10294	0.08154
D007234	39.7156	2.23479	0.09328	0	0.12556	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.02507	0	0	0.46112	0	0		26.98137	4.28305	16.91879	4.35091	11.76542	0.12041	1.08183	0.09721	0	0.55816
Healthy	1.49435	0.22899	0	0	0	0		14.8924	38.09029	4.64923	10.34978	1.32036	10.8039	1.28148	0	0	0
Healthy	0	0	0	0	0	0		0.35748	6.73804	0	0.39654	0	0	0	1.31584	0	0
Healthy	0	0	0	0	0	0		30.08327	12.91336	0.94071	1.46969	49.3567	0	0	0	0.26918	0
Healthy	0	0	0	0	0	0		9.97773	21.6924	9.92768	25.29761	0.42677	0.55688	0	3.60873	0.0678	0.19041
D007234	15.32994	0.18089	78.6279	0	0	0		0	0	0	0	0	0	0	0	0	0
D007234	37.2873	58.04511	0	0	0.00049	0		0	0	0	0	0	0	0	0	0	0
Healthy	55.0788	0	0	0.03501	0.01162	0		19.51684	0.0105	0	0.00433	9.35592	0	0	0	0	0
Healthy	0.57325	0	0	0	0	0		15.59111	14.063	21.54638	3.22833	1.50099	0	0	0.78351	2.41601	0
Healthy	0	0	0	0.46493	0	0		20.84947	41.68406	5.53874	7.11176	1.83515	0.24502	1.3095	0.41707	0	0
Healthy	33.3132	0	1.74985	0	0	0		32.40716	11.91339	0.00185	1.23252	0	1.96572	0.78884	0.00433	0.04376	0
Healthy	5.37164	0.10141	1.90173	0	0	0		34.49539	26.02128	0.57648	1.69264	6.37725	2.58388	0.42416	0	0	0
Healthy	0	0	0	0	0	0		47.92944	3.89694	13.58558	2.88207	3.65243	1.49656	1.96991	0.64273	2.63969	1.21704
D007234	0.07007	23.736	0.04929	0.0264	0.02268	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.0235	0	0		23.88824	57.26534	1.15881	0.76115	2.13859	0	1.05127	0	0	0
Healthy	1.15581	0	0	0.89971	0	0		65.70584	2.30841	0	0.10161	0	0	0	0	0.00677	0
Healthy	0.00483	0	0	0.00247	0	0		7.7264	64.4011	0.02801	14.5544	0	0	0	0.46959	0.00176	0
Healthy	26.8642	0.01043	6.44397	0.01516	0	0.00415		14.2738	11.56562	6.75317	8.48485	0.01779	0.33886	2.89475	0.8622	0.01155	0.0392
Healthy	0	0	0	0	0	0		43.115	1.72941	25.16108	1.79093	6.20307	2.00529	0	0.1628	0.03959	0.0151
Healthy	0.18994	0.33242	0	0.13564	0	0		24.94261	46.51861	1.43902	9.8181	0.92997	0.01538	0.52702	0.59158	0.00501	0
Healthy	0	0	0	0	0	0		53.20443	3.10588	10.13026	3.42493	0.95668	0	0.79806	0.22282	1.28496	0.33033
Healthy	1.84899	0	0	0.2242	0	0.00172		19.65803	25.5392	2.82233	9.96325	1.63737	10.99563	0.83378	1.02795	0.01016	0.07805
Healthy	0	0	0	0	0	0		11.22645	12.06107	6.86182	44.3123	0.07931	3.49728	0	0.90246	0	0
D007234	0	8.34555	46.6539	0	1.48433	0		0	0	0	0	0	0	0	0	0	0
D007234	58.48552	1.44719	0	0	0	0		18.14466	1.37774	0	0	3.20077	0	0	0	0	0
D007234	24.39492	8.95886	0	12.16106	0	0.36354		0	0	0	0	0	0	0	0	0	0
Healthy	0.09832	0	0	0	0	0		54.59408	0.68422	17.3234	5.07443	3.13906	0.10545	2.03364	0.03568	2.80825	0.0016
D007234	67.7078	1.46949	18.4121	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		19.53527	18.72938	32.47975	3.78617	9.16059	0.35928	2.7135	0.0603	0.35053	0.40904
