group	Lachnospiraceae	Barnesiellaceae	Methanobacteriaceae	Coprobacteraceae		Lachnospiraceae	Bifidobacteriaceae	Tannerellaceae	Dialisteraceae	Barnesiellaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Coprobacteraceae
Healthy	6.07036	3.6097	0	0.03414		6.07036	0.21185	3.04081	0	3.6097	0.13293	0	0.0243	0	0.03414
Healthy	1.0229	0	0	0		1.0229	0.02114	3.06774	2.79994	0	0.13948	0	0	0	0
Healthy	3.04903	3.94776	0	0		3.04903	0.58646	0.94487	0	3.94776	0.00218	0.10061	0	0.0079	0
Healthy	44.59993	0.0929	0	0		44.59993	0.08384	1.87849	0	0.0929	2.25374	0.1786	0.05484	0	0
Healthy	22.89878	2.26174	0	0		22.89878	4.09349	0.34509	0	2.26174	0.02658	0.31579	0.08794	0	0
Healthy	21.86949	2.17235	0.68638	0.10676		21.86949	1.70394	4.37859	0	2.17235	6.99111	0	0	0	0.10676
Healthy	3.03262	0.38183	0	0.21309		3.03262	1.23569	0.60116	0.00148	0.38183	0.17487	0.27083	0.15323	0.01532	0.21309
Healthy	35.57277	1.21827	0	0		35.57277	1.73892	0.12273	0.00053	1.21827	0.04409	0.10494	0	0	0
Healthy	11.06907	1.75732	0	0.0266		11.06907	0	5.39465	0	1.75732	1.27333	0	0	0.06537	0.0266
Healthy	7.85057	0	0	0.18224		7.85057	0.11896	2.61872	12.7095	0	0.02267	0	0.00784	0.0115	0.18224
Healthy	32.19017	0	0.65232	0		32.19017	0	0.04542	0	0	0.67306	0.03779	0	0.09801	0
Healthy	29.09286	0	0	0		29.09286	0	0	0	0	0.134	0.00324	0	0	0
Healthy	0.94561	1.32876	0.01411	0		0.94561	0.1269	4.55534	0	1.32876	0	0	0	0	0
Healthy	31.45204	3.41972	0.58046	0.05045		31.45204	0.1445	1.26227	0	3.41972	0.63958	0.00321	0.02227	0.03777	0.05045
Healthy	26.45028	0	3.28183	0		26.45028	0	0	0	0	7.85353	0.40844	0	2.2151	0
Healthy	5.21396	3.55246	0	0		5.21396	0.19261	5.76168	4.82061	3.55246	0	0	0	0	0
Healthy	5.93984	0	0.20356	0		5.93984	12.31171	6.4417	0	0	0.02318	0	0	0	0
Healthy	16.30264	1.58612	0.07783	0.04037		16.30264	0.24184	0.82213	0	1.58612	1.27484	0.00297	0	0	0.04037
Healthy	49.96242	0	0.0354	0		49.96242	0	0	0	0	10.1207	0.0753	0	1.24703	0
Healthy	0.79012	6.7209	0	0.06669		0.79012	1.6107	5.10027	0	6.7209	0	0	0	0	0.06669
Healthy	4.16175	1.02244	0	0		4.16175	0.26173	0.56652	0	1.02244	0.02979	0.00663	0	0.03032	0
Healthy	23.46814	1.13566	0	0.02577		23.46814	13.54931	0.9582	3.75918	1.13566	0	0	0.17341	0	0.02577
