g	Streptococcus	Ruminococcus_C	Clostridium_A	Muricomes	Anaerotruncus	Bilophila	Adlercreutzia	Gordonibacter	Eggerthella	Rothia	Dialister	Methanobrevibacter_A	Sutterella	Phascolarctobacterium	Desulfovibrio
Healthy	-0.0955495471875633	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.504940923792709	-5
Healthy	-5	-5	-5	-5	-5	-5	-0.287956713852145	-5	-5	-5	-5	0.485932845201798	-5	-5	-5
Healthy	0.107230326724592	-5	-5	0.610076453903049	-5	-5	-5	-5	-1.40837896178668	-5	-1.28042014228628	-5	-5	-5	-5
Healthy	-0.678070331473482	-5	-5	-5	-5	-5	-5	-5	-0.871213141357402	-1.40219515759571	-5	-5	0.110131607927338	-5	-5
Healthy	-1.23500240071512	-1.1439360466669	-0.865026459994085	-5	-1.28299559295945	-5	-5	-5	-5	-5	0.473130629449158	-5	-5	-5	-0.177773059405061
Healthy	1.22468971184759	-0.800162577791843	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.00652166261120325	-5
Healthy	-0.747316838067802	-5	-5	-2.90657831483776	-5	-1.15620680167409	-0.92786043676026	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-2.12090412049993	-5	-5	-5	-5	1.11346904426635	-5	-5	-5	-5
Healthy	-0.59787623759936	0.596855396527473	-5	-2.72124639904717	-1.488517711374	-5	-5	-5	-2.10957898119909	-1.34160697372088	0.66098304400167	-5	-1.05685187064144	-5	-5
Healthy	-5	-5	-1.64936439174105	-1.38038499425719	-5	-1.15490195998574	-5	-0.850196061772978	-1.95939765988593	-5	0.415260555485293	-5	-5	-5	-5
Healthy	-1.25258819211358	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.07448164182257	-0.0941232027331172	-0.592303242366103
Healthy	-0.345650160093309	-0.554333536747527	-5	-5	-5	-2.90308998699194	-1.39739747957974	-5	-5	-5	0.774228556842144	-5	0.399753306006056	-5	-5
Healthy	-5	-5	-0.756044698021259	-5	-5	-5	-2.63078414258986	-5	-5	-5	0.7701993436501	-5	-5	-5	-5
Healthy	-5	-5	-1.21098367320663	-1.94923368876696	-0.692375618151882	-0.960942981966556	-5	-1.53835143193654	-5	-5	1.24809127046751	-5	-5	-5	-5
Healthy	-1.85263289220621	-5	-1.80465394165158	-5	-5	-5	-3.10790539730952	-5	-5	-5	-5	-1.60800692774029	-5	-5	-5
Healthy	-5	0.435537003451485	-5	-5	-5	-5	-5	-5	-5	-5	0.706197853673996	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.339403735860026	-5
Healthy	-5	-1.87811201489632	-5	-1.53106219433454	-5	-1.29713882942707	-1.5777385491864	-5	-5	-5	-1.85016530328421	-5	-0.759026648159996	-5	-5
Healthy	-1.88840147511961	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.458707884657631	-1.26752582271881	-1.84801760454253	-5	-5	-0.970291637485105	-2.14569395819892	-5	-5	-5	0.0853155574736707	-5	0.403266405884153	-2.94309514866353	-5
Healthy	-0.984305011473482	-0.565926346214949	-0.585260565886514	-0.827513830313065	-2.77469071827414	-5	-5	-5	-5	-5	-0.202151018636164	-5	0.319403818655348	-5	-5
Healthy	-5	-5	-5	-5	-5	-2.36552272983927	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.74992946410767	-5	-5	-5	-5
Healthy	-1.74521031260279	-5	-2.0670191780768	-5	-5	-1.86012091359876	-2.0301183562535	-5	-5	-5	-5	-0.741410602438539	-0.212752119668046	0.117304446641003	-5
Healthy	-5	-5	-5	-5	-5	-5	-0.807432546663454	-5	-5	-5	-5	-5	-5	-5	-0.253233509274442
Healthy	-0.460296761052174	-5	-5	-5	-5	-5	0.151176719432842	-0.904238040522499	-5	-5	-5	-0.951092298516229	-5	0.0313438202620874	-5
Healthy	-0.34356637993405	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-1.41060897686307	-1.0266412001136	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-0.254230580608736	-2.22694530663574	-1.9434762759209	-2.13906337929991	-1.30163843394489	-1.94923368876696	-1.63940658643475	-5	-5	-5	-5	-5	-0.737145654583807
Healthy	-2.27327279097343	-5	-5	-5	-5	-5	-5	-5	-2.58335949266172	-0.952569359844458	-5	-5	-5	-5	-5
Healthy	-5	-2.07572071393812	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
