group	Bacteroidales	Enterobacterales	Lactobacillales	Pseudomonadales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales		Bacteroidales	Oscillospirales	Actinomycetales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	75.97442	0.6011	0.00291	0	0	0.00721	0		75.97442	6.34267	0	2.69249	0	0.013	0	0	0	0
Healthy	22.48595	0.47299	0.77635	0.00038	0.00749	0	0.14908		22.48595	33.30098	5.56913	4.71729	0	0.18365	0	0.00749	0.36271	0.14908
Healthy	43.89442	2.12948	2.3757	0	0.08093	0.08954	0.13647		43.89442	4.61086	8.08516	0.15028	4.75004	0.00433	0.00715	0.08093	1.00781	0.13647
Healthy	67.57311	0	0.05079	0	0	0.19444	0		67.57311	4.41833	0.08805	0	10.3129	0.08094	0	0	0.19455	0
Healthy	54.50736	1.06216	0	0	0.35675	0.17895	0		54.50736	6.37802	0.02207	9.30256	7.16262	0.2712	0	0.35675	0.69144	0
Healthy	36.60204	0.01462	0.02683	0	0	0.14804	0		36.60204	38.2343	2.3021	0.27195	0.03189	1.85847	0.05897	0	0.41073	0
Healthy	2.1963	0	0	0	3.05681	0	0.26971		2.1963	54.60222	0	0	0	0	2.07917	3.05681	3.68311	0.26971
Healthy	40.07286	0.24052	0.26825	0	3.61034	0	0.05592		40.07286	19.8016	0	0	0	0	0.71531	3.61034	1.00994	0.05592
Healthy	57.19092	0.02631	0.01848	0	1.04246	0	0.05482		57.19092	17.27172	0.00318	0	0	0.39081	0	1.04246	0.47274	0.05482
Healthy	88.99303	0.42965	0.21585	0	0.02708	0	0		88.99303	1.47786	0	3.36743	0	0.11156	0	0.02708	0.14868	0
Healthy	0.0487	15.6337	0	0.21254	0.18018	0	0.04787		0.0487	0.02963	0.25315	0.00048	0	0	0	0.18018	0	0.04787
Healthy	85.92767	1.31886	0	0	1.26078	0	0		85.92767	0	0	0	0	0	0	1.26078	0	0
Healthy	55.54238	0.04188	0.04828	0	0.43867	0	0.26029		55.54238	7.9392	1.87214	1.41269	0	0.03569	0	0.43867	0.23323	0.26029
Healthy	26.65492	2.36877	5.52076	0	0	0	0		26.65492	28.31108	1.59289	0.06649	0	0.26927	0.49771	0	1.80717	0
Healthy	70.48564	0.07776	0	0	0.01705	0	0		70.48564	9.10469	0	0	0	5.7003	0	0.01705	0.51129	0
Healthy	56.2617	0	0	0	0	0	0		56.2617	10.1185	0	0	0	0	0	0	0	0
D001943	81.14409	0.88	0.01313	0.63196	0.22355	0.02445	0.00052		81.14409	0.46221	0.1294	0.00757	0	0.06646	0	0.22355	0.03748	0.00052
Healthy	58.09122	0.06544	0.00451	0	0.01215	0	0		58.09122	14.02014	0	0	0	7.09637	0	0.01215	0.7355	0
Healthy	51.67547	0.1676	1.40118	0	12.39793	0	0.02165		51.67547	1.61808	0.10989	0.14201	0	0.84737	0	12.39793	0.09271	0.02165
Healthy	40.21055	0.07492	0.0073	0	0.0136	0	0		40.21055	14.94458	1.19003	5.37671	0	0	0	0.0136	0.03641	0
Healthy	20.97575	0.78469	0.02389	0	0.00754	0.14777	0.06551		20.97575	25.78823	5.11495	0	0	0.24481	0	0.00754	0.18417	0.06551
Healthy	64.56848	0	0	0	0.05412	0.55153	0		64.56848	4.07902	0	0	0	2.9757	0	0.05412	0.07736	0
Healthy	69.88918	0	0.5783	0	0	0	0		69.88918	4.98386	0.23312	4.62199	0	6.33312	0	0	0.03571	0
Healthy	0.04408	0.159	3.39346	1.12472	0	0	0		0.04408	0.00499	92.88663	0	0	0	0	0	0	0
