group	Enterocloster	Collinsella	Clostridium_A	Clostridium_Q	Faecalimonas	Ruminococcus_B	Longicatena	Muricomes	Anaerotruncus	Lactococcus	Ruminococcus_H	Roseburia	Coprococcus	Ruminiclostridium_E	Mediterraneibacter	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0.01072	0	0.17536	0	0	0.55343	0.02247	0	0	0	0	0	0	0	0.03975	0	0.00889	0.2643	0	0.00233
Healthy	0.17447	0.67999	0.06151	0	0	0.00856	0	0.01123	0.20305	0	4.46956	0.45649	0	0.08736	0.17169	0	0.14954	0.12613	0.02476	0
Healthy	0.4664	0.05868	0.01567	0	0	0	0.00342	0	0	0	0.09014	0.40581	7.15462	0.06598	0.60007	0.02465	0.08893	0.00065	0.17589	0.00077
Healthy	0.66465	1.71217	0	0	0	0	0	0	0	0	11.7396	7.94456	0	6.48886	0.4069	0	0	0	0	0
Healthy	0.79934	0	0	0	0	0	0	0	0	0	3.13501	1.60463	0	0	0.08099	0	0	0	0.0507	0
Healthy	0.02036	0.20882	0	0	0	0.0593	0	0.02943	0	0	0	8.18068	0	0	1.01673	0	0.04979	0.01592	0	0.02643
Healthy	0.61109	0	0	0.03436	0	0	0	0	0	0	0	0	0	0	0	0	0.08548	0	0	0
D003924	7.8789	1.30201	7.67875	5.85323	0	0.14648	0.01856	0.14486	1.36338	0.00345	0	0.1078	0	0	0.08049	0	1.73807	0	0	0
Healthy	0.14405	0.12154	0.01418	0	0	0.01544	0	0	0	0	0.48557	1.97574	0	0.18129	0.41924	0	0.06861	0	0.15632	0.00714
Healthy	0.45248	0	0.25985	0.40084	0	0.00425	0	0.14875	0.00167	0	0	1.05499	0	0	0.10179	0	0.2382	0	0	0
Healthy	1.99695	0	0	0.63302	0	0	0	0	0	0	0	0.03262	0	0	0.02376	0	0.2224	0.26641	0	0
Healthy	0.07968	0	0	0	0	0	0	0	0	0	6.32555	1.70697	0	0	3.65165	0	0	0	0	0
Healthy	0.36575	0.15766	0.00856	0	0	0	0	0	0	0	1.72462	1.40921	0	12.8886	0.58388	0.18137	0.07061	0.01816	0.16394	0.00932
Healthy	0	0.09721	0	0	0	0	0	0	0	0	0.12041	1.66892	0	0.13725	0.31967	0	0	0.00472	0	0.15579
Healthy	2.0934	0	0	0	0	0	0	0	0	0	10.8039	7.72664	0	0.08138	1.06834	0.11191	0	0	0.49605	1.41636
Healthy	0	1.31584	0	0	0	6.73804	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.14842	0	0	0.15742	0	0.05485	0	0.03884	0.09404	0	0	1.74958	0	0	0.10634	0	0.01016	0	0	0
Healthy	1.267	3.60873	0.55688	0.00845	0	0.03057	0.00069	0.00592	0.01138	0	0	1.77659	0	1.65021	0.02141	0	0.03172	0	0	0.04992
Healthy	0	0	0	0	0	0.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.22495	0.78351	0	0	0	0	0	0	0	0	0	4.15261	2.98165	0.3413	3.4149	0	0	0	0	0
Healthy	5.10983	0.41707	0	0	0.71715	0	0	0	0	0	0.24502	3.78882	0	0.08527	9.01518	0.20726	0	0	0.85949	0.00383
Healthy	0.4649	0.00433	0	0	0	0	0	0	0	0	1.96572	1.98799	0	0	0.55036	0	0.04376	0	0.00888	0
Healthy	0.27615	0	0	0	0	0	0	0.35918	0	0	2.58388	1.99986	0	1.32311	0.25141	2.44739	0	0	0.12536	0
Healthy	0.6479	0.64273	0	0	0	0	0	0	0	0	1.49656	0.42435	0	1.43893	0.40435	0.00825	0.09056	1.94449	0	0
Healthy	0.33257	0	0	0	0	0	0	0	0	0	0	3.47726	0.00147	0.07356	0.49241	0.21268	0	0	0.09282	0
Healthy	0.02275	0	0	0	0	0.27628	0	0	0	0	0	0	0	0	0.20743	0	0.00677	0	0	0
Healthy	0.44734	0.46959	0	0.00971	0.00102	0.00977	0.00029	0	0	0.00202	0	38.37729	0	0	1.37903	0	0.00013	0	0	0
Healthy	0.25967	0.8622	0.33886	0	0	0.02066	0.03372	0.0216	0.02768	0.01375	0	0.13283	2.08631	0	1.21669	0	0.01155	0.41728	0.15931	0.20868
Healthy	0.0491	0.1628	0	0	0	0	0	0	0	0	2.00529	0.18626	0	0.03111	0.0538	0	0.00971	0.02694	0.00937	0
Healthy	2.00065	0.59158	0.01117	0	0	0	0.00275	0	0	0	0.00421	2.13274	0.43243	0.07291	0.10851	0	0.00501	0.00668	0.39206	0
Healthy	0.05866	0.22282	0	0	0	0	0	0	0	0	0	1.41808	0	0.00356	0.29819	0	1.28496	0.02943	0.00195	0
Healthy	2.04222	1.02795	0.01793	0	0.06483	0.27636	0.00088	0.01164	0	0	10.9777	6.42877	0	2.29983	0.04036	0.77623	0.01016	0.00079	0.21618	0.01142
Healthy	0	0.90246	0	0	0	0	0	0	0	0	3.49728	2.01162	0	0	2.97291	0	0	0	0	0.89561
Healthy	0.4271	0.03568	0.10545	0.03226	0	0.08189	0	0	0.00576	0	0	0	0	0	0.0859	0	0.17711	0	0	0
