group	Bacteroidales	Enterobacterales	Pseudomonadales	Lactobacillales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	16.03709	0	0	0.58813		16.03709	23.11447	0	0	0.58813	0.18887	0	0	0	0
Healthy	72.96854	0	0	0		72.96854	2.78405	0	0	0	0	0	0	0	0
Healthy	63.08919	0.10077	0	0.06844		63.08919	21.6091	0.10077	0	0.06844	5.04198	0.02511	0	0	0
Healthy	86.49669	1.79721	0	0.09177		86.49669	3.97071	1.79721	0	0.09177	0.06696	0.02595	0	0	0
Healthy	62.46336	0	0	0.06962		62.46336	18.07872	0	0.69377	0.06962	0.00362	0	0	0	0.20544
Healthy	50.72942	0.03177	0	0		50.72942	0.41292	0.03177	12.3504	0	0.11739	0.00781	0	0	0
D014376	82.33254	2.51289	0.0418	0.04773		82.33254	2.45373	2.51289	0	0.04773	4.42346	0.28489	0	0.0418	0.01937
Healthy	65.12554	5.34661	0	0		65.12554	2.80028	5.34661	5.12023	0	5.95538	0	0.29827	0	0
Healthy	45.519	0.50252	0	0.08386		45.519	0.61733	0.50252	0.14545	0.08386	0.00293	0.52419	0.06687	0	0
Healthy	38.42566	0.16732	0	0.31316		38.42566	36.3664	0.16732	0	0.31316	0.00066	0.21681	0	0	0
Healthy	57.43447	0	0	0.01933		57.43447	15.4323	0	1.67518	0.01933	6.45037	0	1.68323	0	0
Healthy	25.9085	0	0	0		25.9085	68.2424	0	0	0	0	0	0	0	0
Healthy	60.72875	0.16819	0	0.14173		60.72875	4.86264	0.16819	0.87803	0.14173	0.14799	0.00557	0	0	0
Healthy	39.65412	0	0	0.29047		39.65412	15.08881	0	0	0.29047	0.86213	0.03077	1.61096	0	0.14257
D014376	85.23063	0.12733	0.10547	0.02966		85.23063	4.90174	0.12733	0	0.02966	0.27545	0.00121	0	0.10547	0
D014376	94.95521	0.08442	0	0.00357		94.95521	0.38016	0.08442	0	0.00357	0.0154	0.019	0	0	0
Healthy	68.11255	0.77609	0	0		68.11255	2.09841	0.77609	0	0	0	0	0	0	0
Healthy	51.31828	0.01246	0	0.04004		51.31828	14.92776	0.01246	0.00032	0.04004	0.22029	0.02119	0	0	0
Healthy	61.18119	0	0	0.03766		61.18119	15.56181	0	0	0.03766	0.03347	0.00749	0	0	0
Healthy	26.18248	0.32653	0	0.02304		26.18248	33.07218	0.32653	1.83282	0.02304	1.81278	1.48201	3.84463	0	0.0005
Healthy	60.2623	0.7776	0	0.36114		60.2623	7.50789	0.7776	5.82674	0.36114	2.33934	0.06644	0.26043	0	0
Healthy	60.18214	0.96041	0	0		60.18214	22.98317	0.96041	0	0	1.44712	0.18432	0	0	0.02075
Healthy	11.533	0	0	0		11.533	43.47845	0	0	0	0	7.68274	0.13631	0	0
Healthy	42.72847	0.32129	0	0		42.72847	10.37783	0.32129	0	0	0.06726	0.06627	0	0	0.15627
Healthy	74.81172	0	0	0.14373		74.81172	6.07036	0	0	0.14373	0.10798	0.13293	0	0	0
Healthy	13.58487	10.2792	0	0		13.58487	1.0229	10.2792	43.4724	0	0.30043	0.13948	0	0	0
Healthy	71.38515	0.10061	0.00483	0		71.38515	3.04903	0.10061	0.03469	0	2.817	0.00218	0	0.00483	0.0079
Healthy	28.00834	0.22162	0	1.6223		28.00834	44.59993	0.22162	0	1.6223	0	2.63695	2.27477	0	0
Healthy	44.18307	0.33885	0.00523	0.78659		44.18307	22.89878	0.33885	0	0.78659	0.32375	0.02658	0	0.00523	0
Healthy	33.10014	0.1535	0	0.3917		33.10014	21.86949	0.1535	0.63493	0.3917	0.63109	6.99111	2.65359	0	0
Healthy	85.82224	0.60552	0	0.34481		85.82224	3.03262	0.60552	0.03989	0.34481	0.04169	0.17487	0	0	0.01532
Healthy	33.90315	0.11169	0	0.18325		33.90315	35.57277	0.11169	0	0.18325	0.36764	0.04409	0	0	0
Healthy	70.51977	0	0	0.39844		70.51977	11.06907	0	0.04755	0.39844	0.83322	1.27333	3.62986	0	0.06537
Healthy	62.9367	0	0	0.00784		62.9367	7.85057	0	0.89222	0.00784	2.23462	0.02267	0	0	0.0115
Healthy	33.13465	0.03779	0	0		33.13465	32.19017	0.03779	0.00828	0	0	1.6906	0	0	0.09801
