group	Phocaeicola	Prevotella	Faecalibacterium	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Rothia	Eggerthella	Prevotella	Enterocloster	Collinsella	Holdemanella	Anaerostipes	Intestinibacter	Parasutterella	Desulfovibrio	Adlercreutzia	Pseudoflavonifractor
Healthy	3.89123	2.12059	2.87864	0.57325	0	0	0	0	0	0	2.12059	1.22495	0.78351	1.18442	0	0	0	0	0	0
Healthy	9.34139	6.79792	7.02649	0	0	0.91179	0.71715	0	0.00583	0	6.79792	5.10983	0.41707	1.65472	1.0676	4.42379	0.06954	0	0.00383	0
Healthy	14.74048	0	1.23252	33.3132	0	0	0	0	0	0	0	0.4649	0.00433	0.73283	0.10545	0	0	0	0	0
Healthy	20.76592	0	0.36953	5.37164	0	0	0	0.35918	0	0	0	0.27615	0	1.85933	0.32253	0	0	0	0	0
Healthy	2.82361	31.28285	1.44314	0	0	0	0	0	0	0	31.28285	0.6479	0.64273	0.06299	0	0	0	0	0	0
Healthy	7.92447	0	0.66465	0	0	0.09139	0	0	0	0	0	0.33257	0	0	0.25544	0	0.00138	0	0	0
Healthy	7.89544	0	0.10161	1.15581	0.27628	0	0	0	0	0	0	0.02275	0	0	0	0	0	0	0	0
Healthy	3.70673	0.0586	14.5544	0.00483	0.00977	0.04679	0.00102	0	0	0.00709	0.0586	0.44734	0.46959	0	0.34813	0	0	0	0	0
Healthy	2.16641	0	6.69399	26.8642	0.02066	0.01153	0	0.0216	0.01325	0.00183	0	0.25967	0.8622	0	0.12998	0.20169	0	0	0.20868	0
Healthy	11.73842	0	1.72603	0	0	0	0	0	0	0	0	0.0491	0.1628	0	0	0	0.01241	0	0	0.02988
Healthy	1.60614	21.8334	9.43876	0.18994	0	0.57161	0	0	0.00101	0	21.8334	2.00065	0.59158	0	0.23984	0.1088	0	0	0	0
Healthy	3.2492	45.2425	3.42137	0	0	0	0	0	0	0	45.2425	0.05866	0.22282	0	0	0	0	0.26795	0	0
Healthy	3.57537	0	7.64183	1.82775	0.27636	0.25338	0.06483	0.01164	0.02079	0	0	2.04222	1.02795	0	0.50882	0.07247	0	0.05474	0.01142	0
Healthy	5.56274	0	44.3123	0	0	0	0	0	0	0	0	0	0.90246	0	0	0	0	0	0.89561	0
Healthy	32.0562	0	5.06867	0.09832	0.08189	0	0	0	0	0	0	0.4271	0.03568	0	0	0	0.00305	0	0	0.02574
Healthy	4.85584	0	3.78617	0	0	0	0	0	0	0	0	0	0.0603	0	0	0	0.12849	0.40904	0.06162	0.13695
Healthy	1.31163	0.00981	0.82079	9.34072	0.00957	0	0.01255	0.04988	0.00982	0.00059	0.00981	1.15285	0.58354	0	0.04555	0.0581	0.00271	0.11505	0.02265	0.00794
Healthy	9.26215	0	0.46508	0.38656	0.00801	0	0	0	0	0	0	0.12766	0.13178	0	0.01594	0	0.11966	0	0	0
Healthy	1.00804	0	0	2.74432	0.02072	0	0.05621	0	0	0	0	8.90162	0	0	0	0	0.07877	0	0	0
Healthy	8.42266	0	4.43563	0.09232	0	0.0422	0	0	0	0	0	0	0.15204	0	0	0	0.00641	0	0.03016	0
Healthy	2.41942	0.00378	0.4021	5.3394	0.00157	0	0.89341	0.10218	0.00036	0	0.00378	0.70583	0.00031	0	0.05691	0.00271	0.01428	0	0.04885	0.0005
Healthy	11.22023	0	1.65404	0	0	0.00402	0	0	0	0	0	0.05462	0.1128	0	0	0	0.00873	0	0	0.02306
Healthy	2.76604	5.62755	6.05802	0.00681	0	0.001	0	0	0	0	5.62755	0.87992	0.29588	1.0004	0.07445	0.08429	0.00842	0.36182	0	0.00477
Healthy	14.87937	26.4025	1.00071	0	0.037	0	0	0	0	0	26.4025	0.72787	0.03785	5.32686	0.16869	0.08412	0.08336	0	0	0
Healthy	10.33921	0	13.6637	1.88746	0	0	0	0	0	0	0	0.04296	1.00364	0	0.62812	0	0	0	0	0
Healthy	7.48809	64.6746	3.19307	0	0	0	0	0	0	0	64.6746	0.10527	0	0.43276	0	0	0	0	0	0
Healthy	23.74448	19.2902	7.34323	0	0	0.02287	0	0	0	0	19.2902	0.17693	0.38453	0	1.04312	0.00613	0	0.03475	0.03878	0
Healthy	3.70937	0	0	2.54476	0.02249	0	0.05726	0	0	0	0	8.3973	0	0	0	0	0.06262	0	0	0
Healthy	14.97172	0	0.77794	0	0	0.3539	0	0	0	0	0	0.20308	0	0	0.13731	0.04315	0	0	0	0
Healthy	2.53623	0	3.95565	0.02159	0	0.17004	0	0	0	0	0	0.26895	0.27859	0	0.0472	0.03226	0	0	0	0
Healthy	2.87852	33.229	2.41693	0	0	0	0	0	0	0	33.229	0.65803	0.14886	0	0	0	0.0624	0	0	0
Healthy	31.279	0	5.24127	0.04198	0.08768	0	0	0	0	0	0	0.39428	0.05215	0	0	0	0.00294	0	0	0.04665
D013167	39.09202	0.09413	6.3838	0.03587	0.0161	0.08715	0	0	0.09437	0.00163	0.09413	0.05935	0.09648	0	0	0	0.04211	0	0.05259	0
Healthy	27.09279	1.63861	7.36644	0	0	0.03656	0	0	0	0	1.63861	0.02566	0	0	0	0	0.04305	0	0	0.00956
Healthy	3.13399	0	2.17067	0.13218	0.02744	0	0	0	0	0.01249	0	0.87453	1.20806	0	0.03714	0	0.0078	0	0.2947	0.00546
Healthy	37.87672	0.02165	4.47993	0.20678	0.03811	0.08566	0	0	0	0	0.02165	0.11748	0.06525	0	0.05601	0.33346	0.0461	0	0.01596	0
Healthy	12.5372	0	0.76327	0	0	0	0	0	0	0	0	1.0797	0.06576	0	0	0	0	0	0	0
Healthy	0	0	0.593	2.24934	0	0	0	0	0	0	0	1.84129	0	0	0	0	0.38935	0	0	0
Healthy	2.73134	0	6.6158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	19.16408	17.4253	0.92595	0	0	0	0	0	0	19.16408	1.47994	2.23707	11.6111	2.15167	0.61622	0	0	0	0
Healthy	10.1479	0	3.72164	0	0	0.06129	0	0	0	0	0	0	0.03354	0	0	0	0.177	0.14748	0.12817	0
Healthy	10.4405	0	3.71931	0	0	0.08635	0	0	0	0	0	0	0.021	0	0	0	0.21624	0.14814	0.17511	0
Healthy	5.34651	0	0.60032	6.53906	0	0	0	0	0	0	0	0	0.02368	0	0	0	0.03166	0	0	0.0178
Healthy	6.76378	0	4.47308	0	0	0.80726	0	0	0	0	0	0.0024	0	0	0.00482	0	0	0	0	0
D013167	13.51253	33.5269	19.195	0.02068	0.51567	0.01408	0.00025	0.001	0	0.05249	33.5269	0.11934	0.13759	0	0.0333	0.00393	0.07795	0	0	0
