s	Intestinibacter_bartlettii	Streptococcus_thermophilus	Coprococcus_A_catus	Anaerostipes_hadrus_A	Haemophilus_D_sp001815355	Streptococcus_parasanguinis_D	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_sp004166885	Rothia_sp001808955	Bacteroides_caccae	Mediterraneibacter_torques
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.113625867244078	-5
Healthy	-0.210257162693356	-5	-0.055774032259276	-0.348634748104987	-5	-2.14935376481693	-0.944698135652559	-2.16621562534352	-5	-5	-5	0.660846512765241
Healthy	-5	-5	-1.53224394875597	-5	-1.21253952548158	-1.30891850787703	-5	-5	-5	-5	0.442294723333986	-0.994690763151483
Healthy	-5	-5	-1.42957382164103	-5	-1.06368736633781	-1.68172791978837	-5	-5	-5	-5	0.473527842915938	-0.881140304590413
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.332976884401574
Healthy	-5	-0.570586892707517	-5	-2.31605286924849	-0.09298118659319	-1.15465386258859	-5	-2.07262963696098	-5	-5	-5	-1.47082639673828
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.272050574988612	-1.44129142946683
Healthy	-5	-1.38331447910449	-1.21817284706757	-5	-0.360035651359634	-0.156555422589379	-1.03654273988329	-5	-1.73992861201493	-5	-5	-0.0748117155469161
Healthy	-5	-5	-0.643476997658173	-0.746637760166931	-5	-5	-5	-5	-5	-5	-0.0142188696909787	-0.212256228353533
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-2.28735029837279	-5	-0.99662564598025	-1.81050968630063	-5	-5	-5	-5	0.471428140258909	-0.879064307438869
Healthy	-5	-1.03725194664136	-5	-5	-5	-5	-5	-5	-5	-5	0.742014600637293	0.0943942555585335
Healthy	-0.68729385440211	-5	-1.66695597017651	-5	-5	-1.27319131747504	-5	-1.73494621149599	-5	-5	0.175836398193133	-0.706792183354138
Healthy	-5	-5	-5	-5	-5	-5	-2.10679324694015	-5	-5	-5	-0.0429580945674494	-1.50045037409485
Healthy	-5	-5	-0.96597347622489	-0.897017769481737	-2.13727247168203	-5	-5	-5	-5	-5	1.66081341644017	-1.50279381929605
Healthy	-5	-5	-5	-2.05799194697769	-5	-1.3612113328426	-2.12033079436795	-5	-5	-5	-5	-1.49921482708254
Healthy	-5	-5	-0.972895134120649	-5	-1.00528701456843	-1.06991736660763	-5	-5	-1.41544263947432	-5	-0.582129901923355	-1.49120103459609
Healthy	-5	-5	-0.829210409553608	-0.635505288355449	-5	-5	-5	-5	-5	-5	0.0203944336329462	-1.15391041964202
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
