f	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Streptococcaceae	Coriobacteriaceae	Lactobacillaceae	Akkermansiaceae	Acidaminococcaceae	Methanobacteriaceae	Enterobacteriaceae	Pseudomonadaceae	Micrococcaceae	Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae	Desulfovibrionaceae
Healthy	1.15191322113061	0.423034411187299	-0.460986665060487	-1.53895190832934	-0.731913695552616	-5	-5	1.68812791006636	-5	-5	-5	-5	-5	1.31508932424031	-0.533399263703119	-0.651597772422364	0.498321583350671	-5	-5	-0.668006161957744	-5	-5	-5
Healthy	1.14402562286898	1.03548137012738	-0.216203578966548	0.542963533042303	-0.817328613324521	-1.03226486821612	-5	-1.60101893334187	0.427232859115983	-0.194444773478747	-1.0315637522883	-5	-3.39794000867204	1.42352406105931	0.620538918337038	0.819659074117858	-5	-0.720173418205985	0.0623713661435777	-0.986446569458324	-1.19551981089401	-0.96106208096138	-1.10941133229451
Healthy	0.926566225573388	1.01863559923956	0.713610650489744	0.500845487407089	-0.437029451256147	0.0749845692601487	-0.863786934486975	-0.143065789419393	-5	-5	0.883932146147086	-5	-1.67943831980476	1.28484024397562	0.933942097100634	0.420226478898294	-5	0.350490302570239	0.32033741673771	-0.519878027382025	-1.75399409592397	-1.04561274985548	-2.87289520163519
Healthy	-5	-5	0.819264844581342	-5	0.668023231914318	-5	-5	-5	-5	-5	1.94285056071741	-1.32403845035783	-5	-1.46382046786277	-5	-2.42136079003193	-5	-1.30399328478145	-5	-5	-5	-5	-5
Healthy	1.42342201427606	0.962149054149991	1.38646596861784	1.04217016556323	-0.74816718137136	-0.180982801310941	-5	-5	-5	-5	-0.662620616304181	-5	-5	0.890926004646825	0.874301452368863	-0.401691094102905	-5	-1.35193287055107	-5	-5	-0.515017218069439	-5	-5
Healthy	1.39331226585792	0.90695263692158	-0.586633168590701	0.679426079476594	-0.413446450097119	-5	-2.15428198203334	-1.75325529027616	0.0900427927414361	0.232983411537436	-0.0567875208181016	-0.980966836069001	-3.46852108295774	1.58223147736881	0.805212592149822	-0.177694590176769	-5	0.262716806142295	-5	-1.23314118897858	-1.27654432796481	-0.850411432212255	-2.05060999335509
Healthy	0.986458212737306	0.29183264947176	-5	-5	-5	-5	-5	-0.15318678603921	-5	-5	-5	-5	-5	1.80536463552241	0.443618102944379	0.643802931893227	0.557558929192659	-1.81559251458768	-5	-5	-5	-5	-5
Healthy	1.37436097319978	1.06158478303249	0.4476292952827	0.562497470089857	-1.27753061411597	-0.169757878730622	-5	-5	-5	0.25545583518426	-1.05739675115784	-5	-3.76955107862173	1.42195566163015	0.883509831405976	-0.434778110637678	-5	-1.49241396023699	0.015661476856923	-1.34998404752816	-1.46775535637342	-1.11475189221861	-0.819386749388397
Healthy	1.25318772119131	0.371568398420568	0.530503213925169	0.757873338483088	-2.57348873863542	-0.424373462079022	-5	0.21827810816134	-5	-0.743787541434838	-5	-5	-5	1.22737552968019	1.02329321142189	-0.620803296167865	-5	-0.713813083058962	0.171196788699384	-1.22650610772903	-5	-5	-1.12644690648638
Healthy	1.09098984493591	0.164917666100957	-1.69378949183224	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.47596826612845	0.0273169834897425	1.70536167531037	-5	-5	-5	-0.518270803039984	-5	-5	-5
Healthy	0.584881660330662	0.974226982265468	0.750233691942234	-0.416960004993965	-1.60467360693065	-0.270932451300711	-5	-5	-5	-1.09044397075882	-5	-5	-5	1.60343669195043	1.14318879562959	0.454144853475704	-5	-2.69680394257951	-5	-0.659813762083655	-5	-5	-0.986109939671561
Healthy	1.20437505574366	0.794184003829024	-0.687653360969147	-5	-0.885355661097721	0.145012950231849	-5	-5	-5	-5	-5	-5	-5	1.63268622347133	0.508945634463445	0.305718859250873	-5	0.63423738469509	-5	-5	-5	-5	-1.09642170633695
Healthy	0.314436068584538	0.622676057151438	-1.62837807282398	0.288454918832501	-1.53551045256603	-5	-5	-5	-5	-5	-0.438576594256154	-5	-5	1.54148888132667	1.46751117385213	0.686833712193795	0.393280309342909	-2.04479346245806	0.315090375389754	-5	-0.831708811148734	-0.61984304849184	-1.38584129049082
Healthy	1.31487020916473	-3.16115090926274	1.39885991175452	-5	-2.97881070093006	0.757343636962944	-0.53426034079614	-5	-1.53017798402184	-5	-0.0375264840391993	-5	-5	1.39065343053428	-5	-0.961618308532304	-5	-5	-5	-1.31443738884177	0.862933010009963	-5	-1.81958736716168
Healthy	0.772103771203905	0.519129412093189	0.607714450071696	0.0297894708318557	-5	-5	-5	-1.04363944632668	-5	-1.36532124782132	-0.832505438364278	-5	-5	1.67125478607493	1.18898779112584	0.643240412545638	0.448217656988705	-0.613768649420475	-0.148625447178581	-5	-5	-5	-1.12871902714203
Healthy	0.826166189386517	0.822214515000215	-0.299330889371745	-0.151552231418591	-1.75300930075845	-0.703576151496223	-5	-5	-5	-0.726790316599669	-1.24192117775039	-5	-5	1.50960986887521	1.14014147204914	0.978170470050854	-0.413401444321602	0.163951096346079	0.365081579699462	-0.794985207430996	-1.48558507941963	-1.68131073005225	-0.812310106474816
Healthy	1.0140948560174	1.0525993023469	0.618923129009223	-1.38059358911322	-1.72723041344824	-0.213461519502198	-1.27917941822966	-0.00797697223614937	-5	-5	-0.73743026678245	-2.12205304837081	-5	1.48689357377456	0.837181728021158	0.371167646135403	-3.431798275933	-1.04566099139754	-0.159793502241003	-1.07078549626261	-5	-5	-1.85387196432176
Healthy	1.33867697157123	0.594813380000131	-0.587875593826683	-0.851613312333179	-0.251145532354061	-1.09436599867305	-5	-0.200824927584771	0.310272618148416	-1.15187248943213	-1.01475320919714	-5	-5	1.55211106172449	0.7957702138193	0.806486586202032	-5	0.326616422851385	-0.00465882137147871	-1.55346283292636	-5	-5	-1.03123695180275
Healthy	1.66603380937245	0.187368409052818	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.44497565609285	-0.20468319334388	-0.366703276188055	0.814708289611638	-5	-5	-0.516241586211751	-5	-5	-5
Healthy	1.2825602605898	1.04842587653765	-0.328716051374985	-0.187949407278121	0.0209162281357402	-0.47336353939984	-5	-1.40693556834128	-5	-5	-0.997315687010271	-5	-5	1.53531349193017	0.407458890457392	0.159855824933591	-5	-0.843784117323237	-0.0736112448204073	-1.05090287488708	-1.30980391997149	-1.2958494831602	-5
Healthy	0.797508517790188	0.370479780691655	-0.838093207932721	0.681860569977887	-1.00691663930194	-0.416076117680687	-5	1.37077225663766	0.401922414511628	0.344075771906494	-5	-5	-5	1.30799444168603	0.843210346239867	0.14250522083399	-5	-5	-5	-0.0559370195626999	-5	-5	-0.145918756170271
Healthy	0.658431170803491	0.616187639326985	0.560964153548602	-0.0265857912742948	-1.04038628892896	-5	-5	-0.0457237134145102	-5	-0.0362829873104546	-0.873251858439808	-5	-5	1.52309805204189	1.20252210026036	0.58446352831283	0.881766280126783	-0.95120872615159	0.0901945446269871	-1.08196966321512	-2.61261017366127	-5	-0.435890473134051
Healthy	0.761782798918629	0.557519232057094	0.628904667733536	0.0103254028366242	-1.98213228103649	-5	-5	-0.931628581967357	-5	-1.19962664510865	-1.02733440773389	-5	-5	1.65462379851543	1.19979027033918	0.642982594501912	0.454725984198136	-0.581201709409646	-0.111668838505759	-1.81730009666396	-5	-5	-1.05026854768429
Healthy	1.41489617032497	1.00899979423695	-5	0.126923264228267	-5	-5	-5	-5	0.597621700591887	-5	-5	-5	-5	1.70296884848118	-0.0401385181691694	-5	-5	-1.30759376516637	-5	-5	-5	-5	-5
Healthy	0.795954362195639	-0.320781123827455	-2.10292299679058	-5	-1.15403423845452	-5	-5	-5	-5	-5	-1.96738123914928	-5	-5	1.94235455620327	-0.64259882486049	-5	-0.0829358359871404	-5	-5	-1.4049449102407	-2.24565166428898	-1.94423953531227	-5
