group	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Blautia_A_wexlerae	Dorea_formicigenerans	Anaerostipes_hadrus_A	Anaerostipes_hadrus	Blautia_A_hydrogenotrophica	Streptococcus_sp004166885	Gordonibacter_pamelaeae	Longicatena_innocuum	Alistipes_putredinis	Akkermansia_muciniphila_D	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0.57718	2.16324	0.72437	0.9074	0	0	0	0	0	0	0.23084	0	0	1.84176	0.62242	0	0	0	0	0
Healthy	0.60249	0	0.43377	1.48147	2.72891	0.57632	0.4716	0	0.01837	0	0.41566	0	1.99584	0	0	0	0	0	0	0
Healthy	0.79118	0.79534	0.66445	0.68194	0	0.07734	0	0	0	0	0	0.06765	0	0	0.14519	0	0	0	0	0
Healthy	0.9126	2.08235	0.29839	0	0.18991	0.10758	0	0	0	0	6.49737	3.04604	0	0	0.66989	6.42389	8.71964	1.80602	0.00222	0
Healthy	0.13232	0.50451	0.1194	0.08105	0	0	0	0	0	0	1.79257	1.83008	0	0.18021	24.0999	0.64181	0.07063	0.70656	0	0
Healthy	0.00178	0.05919	0.04908	0.01672	0	0	0	0	0	0.01167	12.8843	0.00437	0.03571	0	0	0.81698	0	0.79541	0.0042	0.07836
Healthy	0.15205	0	0.32589	0.07593	0	0	0	0	0	0	8.26862	0.51673	0.61502	0	0	0.57386	0	0	0	0
Healthy	4.4287	10.319	2.57677	0	0.17703	0.00906	0.17436	0.05627	0.00992	0.00184	0.42444	25.358	4.75712	0	0	0	0	0	0	0.05252
Healthy	0	0.39147	0.23815	0.04307	0	0	0	0	0	0	11.8498	0.53875	0	0.38535	1.65937	1.79012	0	1.94002	0.01784	0
Healthy	0.31153	1.36094	0.38828	0.13667	0	0.07293	0	0	0	0	6.71292	5.195	0	1.77671	0.14698	0.72177	0.67731	2.21731	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.1208	0.02254	0	0	0	0	0	0	12.8671	0	0	0	0	4.0637	4.97399	0.83263	0.20827	0.01664
Healthy	0	0	0	0	0	0	0	0	0	0.02798	0.00041	0.00841	0	0	0	0	0	0	0	0.25159
Healthy	0	0	0	0	0	0	0	0	0	0	1.1953	1.66666	0	0	0	0.21164	0	0	0.58962	0.039
