f	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Rikenellaceae	Bifidobacteriaceae	Marinifilaceae	Streptococcaceae	Selenomonadaceae	Coriobacteriaceae	Enterobacteriaceae	Lactobacillaceae	Pasteurellaceae	Coprobacteraceae	Desulfovibrionaceae	Veillonellaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Dialisteraceae	Methanobacteriaceae	Acidaminococcaceae
Healthy	1.74251091554351	0.469372767370689	0.309361843843319	1.06591268308008	-0.411392195257313	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.802783300182877	-5	-5
Healthy	1.68411874656299	0.52023716615483	0.319264334449031	1.34654132350584	-0.30756731148585	-0.111152442643604	-5	-5	-0.500381640299993	-5	-5	-1.7619538968712	-5	-0.69216179584344	-5	-5	-5	-5	-5	-5	-5
Healthy	1.33460271273611	0.670205020049456	0.712669900900809	0.763092408893041	-5	0.353773942046363	-5	-5	-5	1.10904539072735	-5	-5	-5	-5	-5	-5	-5	-5	1.0643010907268	-0.21511893041391	-5
Healthy	1.36200682779646	0.650437694808689	0.893824988069619	1.31518938226151	-5	0.364537863140856	-1.96217524941166	-5	-0.835141753037445	-2.08301995267962	-5	-5	-1.39061905574929	-1.03428102975578	-5	-1.18329481633348	-5	-5	-0.647335200348899	-1.70289634985074	-5
Healthy	1.70142921313911	0.695893010680155	0.953635037609222	0.782248252400543	0.712346599731528	-5	-0.590997296598228	-5	-5	-2.38721614328026	-5	0.359939776350954	-5	-5	-1.708409174342	-2.43297363384094	-1.00291956452827	-1.6643415477107	-5	-5	-5
Healthy	1.10118907326706	1.41534968477539	0.945889872880691	0.74022922213786	0.992401068294658	-5	-0.267027566564563	-5	-5	-1.6643415477107	-5	-0.712332608725865	-5	-1.17947015147648	-1.91435271170314	-0.690433704106227	-1.04186632432376	-5	0.609324358441716	-5	-5
D037841	1.63345673957042	1.29635405379818	0.502850282593983	0.761691090924131	-0.267871723488582	-0.356596677963767	-0.163625240659362	-5	-0.429480409911484	-1.38468134338852	-1.1838913292601	-1.37048846579955	-2.17848647159523	-1.74666199467389	-0.851304820714935	-1.78093966755114	-5	-2.74714696902011	-5	-5	-5
Healthy	1.32834310485708	1.20227438660659	1.24625723903805	0.646343920833674	-0.135524518308971	-0.23099952136564	0.358813974372079	-5	-0.135411796988235	-5	-2.52143350440616	-5	-0.861570979993996	-0.548014111051091	-5	-0.424569664694468	-5	-5	-5	-5	0.352346553933043
Healthy	1.37317930623549	1.14197781774328	0.673914394293989	1.2341425555571	0.412347969086344	0.275523266187393	-5	-5	-0.418323354039824	-5	-5	-5	-1.41072077876403	-5	-5	-1.2057211342786	-0.912999879204009	-5	-5	-0.265648292705235	-5
D037841	1.76695834710064	1.02218414076548	0.555919911878383	-0.136147980070506	-0.441591460208925	0.0245185053599065	-1.59380057633669	-5	-0.961220930444462	-1.57251389090421	-5	-0.796939902404039	-5	-5	-2.12609840213554	-0.716088473696271	-3.56863623584101	-2.71444269099223	-5	-5	-5
Healthy	1.73083070729463	1.13642724009451	0.575046907362638	0.843816844609101	-0.29654525468797	-5	-0.703290943824397	-5	-5	-5	-5	0.443353749433271	-5	-1.70929775671215	-0.522893222004348	-5	-5	-5	0.650990004544447	-5	-5
Healthy	1.71839131588211	0.73885267074137	0.65110833457348	1.07351526561884	-5	-5	-5	-5	-5	-5	-5	-0.905738557279498	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.88037084345413	0.765563506854856	0.411463129730481	-0.288614620901548	-2.17392519729917	-5	-1.19348086591929	-5	-0.502503649414585	0.138826693810669	-5	-5	-5	-1.35872424276809	-5	-3.56863623584101	-1.14929251462546	-5	-5	-5	-5
Healthy	1.10009402522016	0.882307051669907	0.92328703134746	1.36419440860694	-0.868060704789575	-1.45543590250396	-5	-5	-0.850904108932027	-1.34794715175189	-5	-5	-5	-0.488584592791225	-5	-1.04248848854552	-5	-5	-5	-5	-5
Healthy	1.56737366284442	0.312469327661736	0.629901724475788	1.46202434395028	-5	0.31530475669591	-2.53461714855158	-5	-5	-0.436139369480359	-5	-0.629301907424423	-5	-2.14146280243036	-0.692824987959655	-5	-5	-5	0.396140041792131	-5	-5
Healthy	1.46484291993504	1.24119746047586	0.648758988205086	0.945877574707744	0.907230187791701	0.134260004631847	0.16766286021636	-5	-0.144814112987219	0.328275604985012	-0.0435674220336518	-5	-0.640392155202794	-1.04793440981495	-2.08354605145007	-0.535540261034547	-0.864930986176552	-2.48412615628832	-0.847558761941045	-2.14508697769214	-5
Healthy	1.70123829691938	-0.0837092715592769	0.603458337409067	0.396769311460364	-1.65600093094284	-5	-5	-5	-0.166865642884846	0.0261940310141587	-5	-5	-5	-0.747244028911427	-5	-1.97963871735229	-5	-5	0.968602946685977	-5	-5
Healthy	1.40042003177147	1.11902151823587	1.58177517773157	0.902693512358132	0.362126071357915	0.189728871509213	-1.57121748850305	-0.451659726880363	-0.446141236295426	-5	-5	-1.83475567387469	-5	-0.829591588274682	-2.67778070526608	-1.27761290582288	-5	-5	-0.568845390947756	-1.22929523178422	-0.71545647704125
Healthy	0.341693638960031	1.476703841958	1.34457165331444	-5	-5	-5	-5	-5	0.566215868865457	-5	-5	-5	-5	-5	-5	-5	-0.569086848995397	-5	-5	0.317892088957648	-0.581019618754964
Healthy	1.93356143552987	0.0637085593914174	-0.0461147240174617	-5	-5	-5	-0.665827827275394	-5	-0.827718238544999	-0.366875075889939	-5	-5	-5	-5	-1.62653627836763	-5	-5	-5	0.52424289104247	-5	-5
Healthy	1.71196025925826	1.20654443756562	0.691330852382571	0.574391293348047	0.272340642245293	-5	-1.31614279459965	-5	-0.632196967250993	-5	-5	-1.37788963963878	-5	-5	-5	-5	-0.584525831890764	-5	0.150049945162385	-5	-5
Healthy	1.79837555119575	0.425726545582806	0.95174102112836	-0.195090837687287	-5	-0.016279017238374	-5	-5	-5	-5	-5	-1.10918790104488	-0.662660560611581	-5	-5	-0.291324207273463	-5	-5	-5	-5	-5
Healthy	1.69180159366179	0.505681663469531	1.05508883268642	-0.046278956881365	-5	0.032916782799791	-2.34486156518862	-5	-5	-5	-5	-1.18409034911323	-0.613394034617515	-5	-5	-0.133411418224968	-5	-5	-5	-5	-5
Healthy	1.57407759000198	1.35264551866897	1.08916936571673	-0.0597824444002649	0.0755615592810349	-0.231354500272272	-5	-5	-5	-1.32734807716	-2.13608262304214	-1.55470723057403	-5	-5	-1.55268689117643	-1.4386600585411	-5	-5	0.72824986361987	-5	-5
Healthy	1.50279720512949	1.37119221901313	0.550455839306529	1.38801234336419	-5	-0.0997093576097716	-5	-5	-1.1114274031424	-5	-5	-5	-1.12778543660241	-0.258422985219577	-5	-5	-5	-5	-5	-5	-5
Healthy	1.75265511377554	0.722335242394437	0.686776543383143	0.390550073884366	-0.632401836320167	0.0180593997488588	-0.237839297913818	-5	-1.44708854978349	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.66482994114309	-5	-5
D037841	1.6147499315003	0.999821468277155	0.340136628640632	0.144991179136163	-0.56215434660917	-0.769883313213781	0.319147716254981	0.901386387118315	0.455771888638985	-1.32642620357695	-5	-0.820362047842187	-5	-1.35379238779331	-0.640259352136284	-1.14272782643596	-5	-2.00348832784582	-5	-5	-2.73282827159699
Healthy	1.12574891681032	-0.129484901474809	0.88538723168243	1.23214853660985	0.434388442735579	-5	-5	-5	-5	-1.37892762885637	-5	-5	-5	0.209152951593855	-5	-0.833066905128846	-5	-5	-5	-5	-5
Healthy	0.233577320349225	0.668742711689318	-0.318921653599093	-0.699600188328667	0.736743798962006	-5	-0.988344989275222	-5	0.167030664885846	1.89632655045426	-5	-5	-5	-5	-5	-2.09528445472132	-5	-5	-5	-5	-5
Healthy	1.8012357228892	1.30268108084626	0.822265523070607	-5	-0.12731939284807	-5	-1.79642322502203	-5	-5	0.261543582154468	-1.58352592089978	-1.35037311315947	-5	-5	-2.09636748391576	-1.98171569157347	-0.59665638086955	-5	-5	-5	-5
Healthy	1.70747606876486	1.31854767896072	0.979332995006559	-5	-1.88706002391592	-5	-5	-5	-5	0.384068331639938	-5	-0.172850514879132	-5	-5	0.447449531216058	-5	-0.777699818826206	-5	0.705766241561525	-5	-5
Healthy	1.2427649777521	1.27562066478692	1.40280335325159	-0.63667012111284	0.410247323940247	-5	-0.107032119049397	-5	0.58910475277915	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.147960609057186
Healthy	0.815575092080781	0.908115979902185	1.26231793314208	-0.210243067714714	0.698566791937309	-5	-0.218646803094664	-5	-2.65757731917779	-5	-5	-5	-5	-5	-5	-0.667218280137085	-1.87192398733128	-5	0.300127898364073	-5	-5
Healthy	1.83017759441193	1.26246414210068	0.440735959183332	-1.45804652554176	-5	-5	-5	-5	-0.973099191109745	-5	-5	-5	-0.37080454251211	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.4099397137423	0.976532463577624	0.933771662671811	1.18293708938235	-5	0.256724960111621	-2.70774392864352	-5	-5	-5	-5	-1.17327747983101	-0.780336899262978	-1.3763372926438	-5	-5	-5	-5	-5	-0.242004572723122	0.183338186289204
Healthy	1.11219229276165	1.06988629910927	1.45917060915212	0.457925777931583	-0.504997133561376	-0.150844806062009	-1.40044440901402	0.222526588342755	-1.10690433390377	-0.146892197272446	-5	-0.896914998158385	-1.54546001503518	-1.49039429538844	-5	-5	-0.400936094120583	-5	-5	-0.819845440546652	0.778374131016551
Healthy	1.56837188721254	-0.542557159271581	0.101729894236247	1.30106386931251	-0.485691374343224	-0.0994034933344006	-1.30311962831724	-5	-0.0151847526254205	0.00429127312198067	-5	-5	-1.09146136782804	-0.394608750110711	-5	-2.01055018233331	-5	-5	-1.44708854978349	-5	-1.55144826079842
Healthy	1.02843866691194	0.00696636925290523	-0.0829305792347736	1.16666185335343	0.080749110907479	-5	-0.534379244145795	-5	0.0936807835974929	-0.951519352526498	-5	-5	-1.82390874094432	-0.093761957868654	-5	-5	-5	-5	-0.211103699644598	-5	-1.6458915608526
Healthy	1.27593826729399	1.40385665264794	1.00112943294656	-0.37217346208207	0.723513136312176	-5	-0.651928900920112	-5	-5	-5	-5	-5	-5	-5	-5	-1.07644514193245	-5	-5	0.677345019721607	-5	-5
Healthy	1.66583258380754	0.974916783863191	0.743002268813819	1.14612493356372	0.138754129723719	0.28780844577235	-1.63413778459744	-5	-0.41999931041096	-5	-5	-5	-5	-1.03198428600636	-1.88306035344924	-5	-5	-5	-5	-1.57823159879308	-5
Healthy	1.44274371480009	0.801631431928032	0.611925011653304	0.928316975577585	0.508095881195523	0.345828374307749	-5	0.12803720576903	-0.645833914968581	-0.210673170492743	-5	-1.83863199776502	-5	-0.525710873834504	-5	-5	-1.73969005420508	-5	-5	-0.299469343021408	-5
Healthy	-1.28692967414436	-3.02227639471115	-5	-5	-1.64282774227697	-5	-5	-5	-5	1.9366017988212	-0.640297291725886	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
