group	Streptococcus	Ruminococcus_B	Clostridium_Q	Longicatena	Muricomes	Eisenbergiella	Schaedlerella	Erysipelatoclostridium	Gordonibacter	Eggerthella	Prevotella	Ruminococcus_H	Barnesiella	Mediterraneibacter	Anaerobutyricum	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	0.25241	0	0	0.00403	0.00189	0	0	0	0	0.00776	5.62645	0.00231	3.83289	0.50233	3.90154	1.28674	0	0	0.00189	0.03246
Healthy	0	0	0.01988	0.10487	0.04164	0.05134	0	0	0.14118	0.01097	0	1.95838	0	0.00737	0	0.15744	0.00705	0.01988	0.04164	0
Healthy	0.05589	0	0	0	0	0	0	0	0	0	44.97245	0	0.76415	0.31177	0	0	0	0	0	0
Healthy	0.45117	0	0	0	0	0	0	0	0	0	13.0904	0.07926	1.78582	0.41848	0.48446	0.20733	0	0	0	0
Healthy	0	0.55343	0	0.02247	0	0	0	0	0	0	0	0	0	0.03975	0	0	0.11666	0	0	0
Healthy	0	0.00856	0	0	0.01123	0.00761	0	0	0.02894	0	0	4.46956	5.12769	0.17169	0.07101	0.08157	0.27735	0	0.01123	0.20305
Healthy	0.01403	0	0	0.00342	0	0	0	0	0	0	16.1089	0.09014	0.39095	0.60007	0.36709	0.25761	0.00491	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	11.7396	0	0.4069	2.07775	0.53567	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	29.5744	3.13501	0.7484	0.08099	1.01417	0.43257	0	0	0	0
Healthy	0	0.0593	0	0	0.02943	0.16766	0	0	0	0	0	0	2.78245	1.01673	0	0	0	0	0.02943	0
Healthy	0.01292	0	0.03436	0	0	0	0	0	0	0	68.4668	0	0	0	0	0	0	0.03436	0	0
Healthy	0.34776	0.01544	0	0	0	0	0	0	0	0	0	0.48557	1.35632	0.41924	0.16832	0.32221	0.01433	0	0	0
Healthy	0.10367	0.00425	0.40084	0	0.14875	0	0	0	0	0	0	0	0	0.10179	0	0	0.01751	0.40084	0.14875	0.00167
D015212	3.78466	0	0	0.07767	0	0	0	0	0.05441	0.00625	0	0	0	2.92326	0.09003	2.10191	0	0	0	0
Healthy	0	0	0.63302	0	0	0	0	0	0	0	0	0	3.09629	0.02376	0	0	0.34626	0.63302	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	6.32555	1.05966	3.65165	0.82993	0.88487	0	0	0	0
D015212	0.18483	0.82496	0.03733	0.0164	0.0012	0	0.0182	0	0	0	0	0	0	0.9544	0.48553	1.28406	0.16426	0.03733	0.0012	0
Healthy	0.01797	0	0	0	0	0	0	0	0	0	0	1.72462	0.15532	0.58388	0.1047	0.26133	0.00946	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.12041	1.08183	0.31967	0	0.01581	0	0	0	0
Healthy	0.34649	0	0	0	0	0	0	0	0.12466	0	0	10.8039	1.28148	1.06834	0	0.83816	0	0	0	0
Healthy	0.45334	6.73804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.05485	0.15742	0	0.03884	0.01003	0	0	0	0	0	0	0	0.10634	0	0.02511	0	0.15742	0.03884	0.09404
