group	Gammaproteobacteria	Desulfovibrionia		Bacteroidia	Clostridia	Gammaproteobacteria	Verrucomicrobiae	Bacilli	Methanobacteria	Desulfovibrionia	
Healthy	3.14031	0.34092		26.85938	44.29218	3.14031	1.21439	0.04315	0.4182	0.34092	
Healthy	2.78783	0		1.70617	61.3387	2.78783	0	0.68678	4.59177	0	
Healthy	1.72334	0		22.14347	59.24397	1.72334	0	0.34649	0.11191	0	
Healthy	0	0		0.35748	7.13458	0	0	0.45334	0	0	
Healthy	0.47493	0.00129		89.29252	2.71648	0.47493	0	0.25207	0	0.00129	
Healthy	0	0		80.38068	14.65223	0	0	0.53907	0	0	
Healthy	0.00056	0.19041		20.33218	47.61645	0.00056	19.023	0.1903	0	0.19041	
Healthy	3.22871	0		57.19523	21.10853	3.22871	1.22072	0.53034	0	0	
Healthy	55.0788	0		28.87276	0.25032	55.0788	0.00039	0.02015	0	0	
Healthy	1.25345	0.19078		54.53618	5.66429	1.25345	7.01615	0.31315	0	0.19078	
Healthy	0.23517	0		79.23344	2.50118	0.23517	0	0	0	0	
Healthy	0.57325	0		38.75978	19.70734	0.57325	11.9695	1.18442	0	0	
Healthy	0.98133	0		29.53286	53.46463	0.98133	2.81759	2.36732	0.20726	0	
Healthy	3.81454	0.06318		7.31188	32.07313	3.81454	4.32216	1.84987	0	0.06318	
Healthy	35.06305	0		33.23081	15.15539	35.06305	0	0.73283	0	0	
Healthy	7.37478	0		41.87328	30.2978	7.37478	0.49181	1.88666	2.44739	0	
Healthy	2.99685	1.21704		69.54234	10.91526	2.99685	0	0.22275	0.00825	1.21704	
Healthy	0.12406	0		28.72289	58.02649	0.12406	0	0.34273	0.21268	0	
Healthy	0.69686	0		18.12975	60.703	0.69686	1.23974	0.52646	4.87042	0	
Healthy	1.2838	0		36.17394	8.96741	1.2838	30.6252	0.01161	0	0	
