group	Dialister	Ruminococcus_B	Dorea	Longicatena	Anaerostipes	Intestinibacter	Adlercreutzia	Anaerotruncus	Gordonibacter	Eggerthella	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Anaerobutyricum	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	0	0.05485	0	0	0.04991	0	0	0.09404	0	0	0.09504	0	1.74958	0.10634	0.14842	0	0	0.21317	0.02511	0
Healthy	0	0.03057	0	0.00069	0.00606	0	0.04992	0.01138	0.01123	0.02293	18.3483	0	1.77659	0.02141	1.267	0.03732	3.60873	0.05127	0.02943	0
Healthy	0	0.0105	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.73815	0	4.15261	3.4149	1.22495	0	0.78351	0.31106	0	0
Healthy	0	0	0.45702	0	1.0676	4.42379	0.00383	0	0	0	13.0256	0.24502	3.78882	9.01518	5.10983	0.26443	0.41707	0.15486	0.34818	0.45702
Healthy	0	0	0.13819	0	0.10545	0	0	0	0	0	7.97763	1.96572	1.98799	0.55036	0.4649	0.17258	0.00433	0.31742	0.18999	0.13819
Healthy	0	0	0.13797	0	0.32253	0	0	0	0	0	10.4535	2.58388	1.99986	0.25141	0.27615	2.54507	0	1.36649	0.60366	0.13797
Healthy	0	0	0.0541	0	0	0	0	0	0	0	1.4496	1.49656	0.42435	0.40435	0.6479	0	0.64273	0.07711	0.02905	0.0541
Healthy	0.36575	0	0.14741	0	0.25544	0	0	0	0	0	4.3973	0	3.47726	0.49241	0.33257	0.60179	0	0.28	0.29519	0.14741
Healthy	10.166	0.27628	0	0	0	0	0	0	0	0	1.80195	0	0	0.20743	0.02275	0	0	0	0	0
Healthy	0.21393	0.00977	0.07974	0.00029	0.34813	0	0	0	0	0.00709	7.74604	0	38.37729	1.37903	0.44734	0.45317	0.46959	1.06858	0.4357	0.07974
Healthy	0	0.02066	0.23069	0.03372	0.12998	0.20169	0.20868	0.02768	0.03839	0.00183	1.10025	0	0.13283	1.21669	0.25967	3.01429	0.8622	1.91743	0.71833	0.23069
Healthy	0	0	0	0	0	0	0	0	0	0	1.25576	2.00529	0.18626	0.0538	0.0491	0.0073	0.1628	0	0	0
Healthy	0	0	0.49999	0.00275	0.23984	0.1088	0	0	0	0	38.7322	0.00421	2.13274	0.10851	2.00065	0.19956	0.59158	0.36109	0.38947	0.49999
Healthy	0	0	0	0	0	0	0	0	0	0	0.38192	0	1.41808	0.29819	0.05866	0	0.22282	0.12838	0	0
Healthy	0	0.27636	0.59673	0.00088	0.50882	0.07247	0.01142	0	0	0	7.33956	10.9777	6.42877	0.04036	2.04222	0.16639	1.02795	0	2.27022	0.59673
Healthy	0	0	0	0	0	0	0.89561	0	0	0	7.07654	3.49728	2.01162	2.97291	0	0	0.90246	0	0	0
Healthy	0	0.08189	0	0	0	0	0	0.00576	0	0	0	0	0	0.0859	0.4271	0.01332	0.03568	0	0.04375	0
Healthy	0	0	0.08596	0	0	0	0.06162	0	0	0	0.58116	0.35928	2.87248	0.02481	0	0.0201	0.0603	0	0.04747	0.08596
Healthy	0	0.00957	0.00404	0.02312	0.04555	0.0581	0.02265	0	0.04661	0.00059	0.83227	3.5316	0.01342	0.17879	1.15285	0.39557	0.58354	0.20575	0.06503	0.00404
Healthy	3.56415	0.00801	0	0	0.01594	0	0	0.33789	0	0	0	0	0.39841	0.14083	0.12766	0.00928	0.13178	0.00162	0.01191	0
Healthy	0	0.02072	0.37376	0	0	0	0	0	0	0	0	0	0	1.25518	8.90162	0	0	0	0.06956	0.37376
Healthy	0.35415	0	0	0	0	0	0.03016	0.04265	0	0	2.04603	0.63795	0.8782	0.17724	0	0.04734	0.15204	0.0404	0.1027	0
Healthy	2.02896	0.00157	0.0093	0.08912	0.05691	0.00271	0.04885	0	0.01014	0	0.05495	2.58533	0.11259	0.55596	0.70583	0.01762	0.00031	0	0.12309	0.0093
Healthy	0	0	0	0	0	0	0	0	0	0	1.22578	1.97063	0.18489	0.0681	0.05462	0.01828	0.1128	0	0.00329	0
Healthy	0	0	0.50902	0.00529	0.07445	0.08429	0	0	0	0	3.37257	0	3.44526	0.02935	0.87992	0.6216	0.29588	0.9476	0.24514	0.50902
Healthy	0	0.037	0.68709	0	0.16869	0.08412	0	0	0	0	10.1396	0.66444	6.50516	0.05952	0.72787	1.08564	0.03785	0.32056	0.57152	0.68709
Healthy	0	0	0.05316	0	0.62812	0	0	0	0	0	6.52916	3.92368	0.66597	0.81629	0.04296	1.43622	1.00364	0.22981	0.50349	0.05316
Healthy	0	0	0	0	0	0	0	0	0	0	1.38735	0	4.00427	0.92559	0.10527	0	0	0.16755	0.11172	0
