group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Bifidobacterium_pseudocatenulatum	Ruminococcus_B_gnavus	Flavonifractor_sp000508885	Enterocloster_citroniae	Bacteroides_uniformis	Dialister_invisus	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	7.8163	0	11.9407	0	0	0	0	0	0	0	3.48918	0	0.1	0	0	0.03747	0	0	0	0
Healthy	8.03705	0	0	0	0	0	0	0	0	0	15.0348	0	0.86552	7.09637	1.07873	0	0	0.23769	0	0
Healthy	1.12954	38.6079	0	0	0	0	0	0	0	0	1.00992	0	0.41023	0.83185	2.11166	0	0	0.01289	0.01552	0
Healthy	12.2367	0	0	0	0	0	0.04771	0.00935	0.07704	0	6.02436	5.34871	0.00082	0	0.587	0	0	0.00396	0	0.07704
Healthy	22.0754	0.07147	0.59223	0.0663	0.01831	0.00279	1.682	0.03273	0.00321	0.00638	0.23883	0	0.00199	0	0	0.00509	0	0	0.24481	0.00321
Healthy	3.55185	0	2.54147	0	0	0	0	0	0	0	0.05207	0	3.44256	2.59178	0.79485	0	0.08903	0.1543	0.38392	0
Healthy	4.68188	0	19.8318	0	0	7.51156	0	0	0	0	11.8012	4.62199	0.79313	6.27355	1.04245	0	0.00312	0.0264	0.05957	0
Healthy	0.00499	0.0019	0.00068	0	0	0	0	0	0	0	0.00314	0	0	0	0	0	0	0	0	0
Healthy	3.82362	0	0	15.8423	0	16.0873	0	0.08233	0.0205	0.00427	17.3451	0	0.15965	0	1.41887	0	0.18727	0.02141	0.00077	0.0205
Healthy	9e-05	0	0	0	0	0	7.18358	12.7376	0	0.01348	0.00107	0	0	0	0	0	0	0.07233	0	0
Healthy	7.06813	0	0	0	24.54	0	0	0	0	0	4.35117	0.20528	0.42555	0	0	0	0.00788	0.02147	0.01982	0
Healthy	4.42579	0	0	0	0	0.2573	0	0	0	0	7.45452	0	2.08397	0.03447	0	0	0	0.04991	0.02873	0
Healthy	0	0	0.51686	0	0	0	0.24598	0.07356	0.03246	0	0.07634	0	0.01419	0	0	0	0.04022	0.02667	0.02799	0.03246
