group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	25.20788	0.03785	8.9778	0.01236		55.82578	25.20788	0.03785	0.08336	1.47114	0.01236	8.9778	1.90301	0	
D009765	19.60454	0	0	0		72.03086	19.60454	0	0	0	0	0	0	0	
Healthy	31.31164	30.09822	0	1.26245		27.29133	31.31164	30.09822	3.26884	0	1.26245	0	0.42914	0.05407	
Healthy	14.71251	0	0.43276	0		78.2146	14.71251	0	0	0.39408	0	0.43276	0	0	
D009765	25.71924	13.44969	0	17.7379		29.9754	25.71924	13.44969	0.71407	0	17.7379	0	0	0	
Healthy	24.74316	1.54149	0.50608	0		64.69453	24.74316	1.54149	2.03249	0	0	0.50608	0	0.03475	
Healthy	12.34864	0	0.10057	0		79.61067	12.34864	0	2.81094	0	0	0.10057	0	0.04609	
Healthy	33.81771	0.05685	0.75909	0.6796		46.96026	33.81771	0.05685	0.3539	6.72967	0.6796	0.75909	0.18105	0	
Healthy	26.33504	0.78507	0.20791	0		33.30529	26.33504	0.78507	1.51551	0.28046	0	0.20791	0	0	
Healthy	6.24266	0.26379	0.56566	0		69.58044	6.24266	0.26379	0.0624	0	0	0.56566	0.02876	1.64987	
Healthy	9.09499	0.1483	0.05386	0		77.68829	9.09499	0.1483	0.11479	0	0	0.05386	0	0.00154	
D009765	47.91989	29.46366	9.40601	0		2.11203	47.91989	29.46366	0	0.00338	0	9.40601	0	0	
Healthy	26.7119	0.00498	0.0161	0.6598		61.68826	26.7119	0.00498	0.39111	0.01957	0.6598	0.0161	0	0	
Healthy	11.93575	13.75789	0.30101	0		56.32307	11.93575	13.75789	0.13998	0.00213	0	0.30101	0.1953	0.11107	
Healthy	33.61109	0.28703	0.31688	0		54.50758	33.61109	0.28703	0.33854	1.89045	0	0.31688	0	0	
Healthy	4.84264	0.06576	0.02025	0		43.3074	4.84264	0.06576	0.11856	0	0	0.02025	0	0.03259	
Healthy	3.38635	0	0	0		72.56282	3.38635	0	2.63869	0	0	0	0	0.05179	
D009765	54.10296	11.54741	1.59855	0.34387		18.73878	54.10296	11.54741	1.30007	0.00406	0.34387	1.59855	0	0	
D009765	25.67191	1.27101	0.08544	0.24805		28.21968	25.67191	1.27101	0.0007	0	0.24805	0.08544	0	0.37628	
Healthy	10.37827	3.41848	0	0		22.69552	10.37827	3.41848	0	0.31288	0	0	0	0	
