group	Veillonella	Longicatena	Rothia		Prevotella	Akkermansia	Enterocloster	Methanobrevibacter_A	Collinsella	Anaerostipes	Clostridium_A	Intestinibacter	Parasutterella	Adlercreutzia
Healthy	0.01978	0	0		0	0	0.00535	0.20474	0.20445	0	0	0	0.01043	0.02499
Healthy	0.00961	0	0		0	0.2178	0.21822	0	0.2881	1.33607	0	0.31638	0.01562	0
Healthy	0	0	0		0	0	1.60594	0	0.25558	0.10445	0	0.2142	0.00297	0.08534
Healthy	0	0	0		33.03401	0	0.6075	0.01774	0.16083	0	0.13059	0	0.0279	0
Healthy	0	0	0		10.05404	22.8919	0.18776	1.96453	0.45095	0	0.02823	0	0	0
Healthy	0.03581	0.23297	0		0.03206	0	0.05651	0	0.09204	0.11207	0	0.13173	0.0386	0
Healthy	0	0	0		0.23732	0.31809	2.35291	3.37489	0	0.21442	0	0.60065	0	0
Healthy	0.52921	0	0		0	8.57815	0	0	0.06604	0	0	0	0	0.071
Healthy	0	0.03309	0		0	0	0.00824	0	0	0	0.19041	0	0.14634	0
Healthy	0	0	0		0	0	0.04681	0	0.51228	0	0	0	0	0
Healthy	0.07498	0.00143	0.00073		0.11106	0.07407	1.74052	0	0.84728	0.61021	0.04832	0.00386	0.05072	0.21001
Healthy	0	0	0.00315		0.11496	0.04887	0.03666	0	0.23723	0.12272	0	0.01405	0	0.02922
Healthy	0.0314	0	0		0	0	0.27482	0	0.06452	0.35978	0	0.59335	0.01362	0.00709
Healthy	0.3072	0	0		0	0	0	0	0	0	0	0	1.18589	0
Healthy	0	0.00875	0		0	0	0.26475	0	0.04954	0	0.19836	0	0	0
Healthy	0	0.26057	0		0.32345	11.0573	0.49453	33.7754	2.31551	0	0.37831	0	0	0
Healthy	0	0	0		0	0	0.03827	0.29473	0	0.07711	0	0	0	0
Healthy	0	0	0		0	2.34656	2.15543	21.0891	0.27622	0.35259	0.01185	0.00398	0.07643	0
Healthy	0	0.00528	0		0	16.6374	0.56226	0	0	0	1.11011	0	0.02878	0.1381
Healthy	0	0	0		0	0.72089	0.77396	0	0.02411	0.02904	0.01039	0.00278	0.78648	0
Healthy	0	0	0		0	0	0	0	0.04917	0	0	0	0.04875	0
