group	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Ruminococcus_B_gnavus	Bacteroides_intestinalis_A	Haemophilus_D_sp001815355	Bacteroides_nordii	Enterocloster_citroniae	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Eggerthella_lenta	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Streptococcus_thermophilus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04909
Healthy	0	1.31915	0.11141	0	0	0.06901	0.03214	0.00317	0.00419	0.00095	0	0	15.5655	0	0	0.58748	0	1.86349	0.00396	0
Healthy	0	5.68304	0.03041	0	0	0	0	0.22071	0	0	1.29797	0	1.09653	3.06931	0	0	0	0.51607	0	0
Healthy	0.56203	0	0	0	0	0	0	0	0	0	0	1.53424	0.22622	0.54243	1.16431	1.88591	0	0	0	0
Healthy	8.441	0	0	0	2.77557	0	0	0	0	0	4.47702	0	0	0	0	0	0	0.18528	1.07698	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82169	0	0	0	0.35965	0
Healthy	23.8925	0	0	0	0.12423	0	0	0	0	0	0	0	0.51705	0	0	0	0	0	0.10417	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57858	0.81242	0	0	0.433	0.02194
Healthy	0	0	0.01715	0.2265	0.01484	0	0.00426	0	0	0.00032	0	0	8.8993	0	0	0.35517	0.2265	0.01896	0.14252	0.0101
Healthy	4.02156	0	0	0.01192	0	0	0	0.0656	0.12636	0	0	0.82184	0.6262	0	0	0.24283	0.01192	0	0	0
Healthy	17.1072	0.00777	0.05311	0	0	0	0.01905	0	0	0.00026	0	0	0	0	0	0	0	0	0	0.13021
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.05143	0	0	0	0	0	0	0
Healthy	2.36658	0	0.15084	0	0.06684	0	0	0	0	0	0	0	0.0654	1.70278	0	0.3186	0	0.66988	0.04103	0
