group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae	Lactobacillaceae	Eggerthellaceae	Erysipelatoclostridiaceae		Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae
Healthy	35.33617	2.1367	6.48387	0.00473	0.03449	0.04743	0.13116	0	0		35.33617	5.75588	0.50003	0	8.98905	0	0.59341	0.00299	0.00473	0.03449
Healthy	16.50866	8.45186	0.43307	0.26113	0.24747	0	0	0	0		16.50866	5.82279	16.59372	1.6894	2.89444	0.14447	1.76986	0.09104	0.26113	0.24747
Healthy	0	2.77059	0	0	0	0	0	0.3691	0		0	0	0	0	0	0	0	0	0	0
Healthy	27.78473	16.37696	0	0.02688	0.40379	0.20194	0.11797	0	0		27.78473	1.1217	1.73068	5.34705	0	0.15253	0.74523	0	0.02688	0.40379
Healthy	55.27272	2.03873	0	0	0	0	0	0	0		55.27272	11.63891	1.43325	6.35013	0.12857	0	0	1.74357	0	0
Healthy	48.31908	2.08575	0	0	0.01729	0	0	0	0		48.31908	22.20962	2.34465	0	5.95389	0	0.77418	0.02547	0	0.01729
Healthy	54.92267	1.01248	0.6727	0.00129	0	0.05314	0	0	0.06095		54.92267	0.34539	0.44147	0	0.04209	0	0.78479	0.00454	0.00129	0
Healthy	21.6074	5.16023	12.8542	0	0	0	0	0	0		21.6074	5.79551	3.29162	11.5958	0.37574	0.60936	2.25825	0	0	0
Healthy	23.01477	7.83113	0.00825	0	0	0	0	0.06556	0		23.01477	20.6628	6.53852	0.22524	1.42197	0.01981	2.31492	0.04391	0	0
Healthy	50.28392	8.98741	0.00409	0.01956	2.29054	0.09932	0	0.00368	0.00715		50.28392	6.05686	0	0	0.0035	0	0	0.00521	0.01956	2.29054
Healthy	12.62376	8.82855	0.02165	0.01217	0.19393	0.0908	0	0.20396	0.06233		12.62376	5.4983	2.10613	4.06746	0.00678	0	0	0.52013	0.01217	0.19393
Healthy	8.46995	0	0.74512	0.13021	0	0.03828	0.78683	0.00569	0		8.46995	4.54685	55.4244	0	0.77874	0	0.00239	0	0.13021	0
Healthy	92.1473	1.42962	4.12779	0	0	0	0	0	0		92.1473	0	0	0	0	0	0	0.04909	0	0
Healthy	21.2982	17.63019	0	0	0	0	0.003	0.3762	0		21.2982	4.42938	4.63046	0	0.0093	0	0.58748	0.01037	0	0
Healthy	14.6883	11.99021	1.83545	0	0	0	0	0	0		14.6883	5.13152	1.44981	1.29797	0	3.06931	0	0	0	0
Healthy	23.61452	4.71969	0	0	0	0.12217	0	0.06226	0		23.61452	17.14519	2.52603	0	1.16431	0.54243	1.88591	0.14019	0	0
Healthy	53.80599	3.75877	0	0.29998	2.77557	0	0	0	0		53.80599	6.97937	4.22958	4.47702	1.07698	0	0	0.1008	0.29998	2.77557
Healthy	32.15259	3.6521	0	0	0	0	0	0	0		32.15259	24.4055	6.37429	0	3.18134	0	0	0.19086	0	0
Healthy	52.2867	4.47824	0	0	0.12423	0	0	0	0		52.2867	11.84445	1.26783	0	0.10417	0	0	0.0164	0	0.12423
Healthy	31.71635	3.53311	0	0	0	0	0	0	0		31.71635	23.906	6.43809	0	3.01158	0	0.81242	0.24656	0	0
Healthy	6.80061	16.45175	0	0	0.01484	0	0.00944	0.03728	0		6.80061	0.85813	2.33747	0	0.16203	0	3.1263	0.1245	0	0.01484
Healthy	16.66698	11.14507	0.04559	0	0	0.41789	0.25765	0	0		16.66698	0.52597	0.34158	0	0	0	0.24283	0	0	0
