group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota	Methanobacteriota		Bacteroidota	Proteobacteria	Desulfobacterota	
Healthy	55.66819	7.64681	0	0	0		18.17723	0	0	
Healthy	40.80151	0	1.96262	0	0		42.50091	0	0	
Healthy	10.62527	0	0	0	0		85.49418	1.24412	0	
Healthy	16.35226	1.16459	0.04651	0	0		63.68496	0.17416	0.05044	
Healthy	2.18622	0	0.01292	0.55019	0		92.81289	4.2841	0	
Healthy	2.19771	0	0	0.55513	0		92.94877	4.1579	0	
Healthy	32.41273	0.74596	0.50817	0.38836	0		49.73983	2.56184	0.10707	
Healthy	6.63736	0.78238	0.14595	0	0		76.96651	0.3374	0.07095	
Healthy	25.40455	3.45087	0.77947	0.10918	0.00287		45.9343	2.50738	0	
Healthy	11.4144	0.48822	0	0.2125	0		74.91638	0.07875	0	
Healthy	43.83014	0.01142	0.10367	0	0		51.54426	2.5813	0	
D000236	50.76231	7.2738	2.40742	1.73008	0		20.87922	2.36843	0.02894	
Healthy	7.64717	0.38056	0.2637	0	0		66.92907	0.20324	0	
Healthy	62.3889	2.91684	0.32166	0	0		11.35751	0.46694	0	
Healthy	50.40328	0.33109	1.99244	0	0		33.89588	0.14013	0	
Healthy	7.17314	0.22342	0.16887	0	0		86.92476	1.64109	0.09375	
Healthy	3.46566	0	0	0	0		71.0787	2.44306	0.03142	
Healthy	46.10202	10.94462	0	0	0		26.51604	0	0	
Healthy	23.64598	9.39407	3.99975	0	0.08105		34.73166	6.19712	0.0062	
Healthy	69.4009	0.70339	1.54894	0.09373	0.18576		14.1769	0.72719	0.08154	
Healthy	8.75437	0.75156	0	8.71159	0		58.04866	0.53971	0.55816	
D000236	12.61307	16.8937	4.07955	0.03824	0.37109		13.60312	1.8606	0.82089	
Healthy	44.29218	3.93008	0.04315	1.21439	0.4182		26.85938	3.14031	0.34092	
Healthy	61.3387	9.71383	0.68678	0	4.59177		1.70617	2.78783	0	
Healthy	59.24397	1.94799	0.34649	0	0.11191		22.14347	1.72334	0	
Healthy	7.13458	27.02805	0.45334	0	0		0.35748	0	0	
Healthy	2.71648	0.11391	0.25207	0	0		89.29252	0.47493	0.00129	
Healthy	14.65223	0	0.53907	0	0		80.38068	0	0	
Healthy	47.61645	3.88737	0.1903	19.023	0		20.33218	0.00056	0.19041	
Healthy	21.10853	1.79989	0.53034	1.22072	0		57.19523	3.22871	0	
