group	Veillonellales	Coriobacteriales	Peptostreptococcales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Peptostreptococcales
Healthy	0.21553	0.21112	0.20544		62.46336	18.07872	0	0.69377	0.00362	0	0	0.21112	0	0.20544
Healthy	0	0.13067	0		50.72942	0.41292	0.03177	12.3504	0.11739	0	0.00781	0.13067	0	0
Healthy	0	0	0		65.12554	2.80028	5.34661	5.12023	5.95538	0.54418	0	0	0.29827	0
Healthy	3.0011	0.76566	0		45.519	0.61733	0.50252	0.14545	0.00293	0	0.52419	0.76566	0.06687	0
Healthy	9.7945	0	0		38.42566	36.3664	0.16732	0	0.00066	0	0.21681	0	0	0
Healthy	0	0	0		57.43447	15.4323	0	1.67518	6.45037	0.24888	0	0	1.68323	0
Healthy	0	0	0		25.9085	68.2424	0	0	0	0	0	0	0	0
Healthy	7.60652	0	0		60.72875	4.86264	0.16819	0.87803	0.14799	0.94585	0.00557	0	0	0
Healthy	8.39761	0.70297	0.14257		39.65412	15.08881	0	0	0.86213	0	0.03077	0.70297	1.61096	0.14257
Healthy	10.51246	0	0		68.11255	2.09841	0.77609	0	0	0	0	0	0	0
Healthy	0.00199	0.16427	0		51.31828	14.92776	0.01246	0.00032	0.22029	0	0.02119	0.16427	0	0
Healthy	0	0	0		61.18119	15.56181	0	0	0.03347	0	0.00749	0	0	0
Healthy	0.00441	0.48756	0.0005		26.18248	33.07218	0.32653	1.83282	1.81278	0	1.48201	0.48756	3.84463	0.0005
Healthy	0.08596	0	0		60.2623	7.50789	0.7776	5.82674	2.33934	0	0.06644	0	0.26043	0
Healthy	0	0.60333	0.02075		60.18214	22.98317	0.96041	0	1.44712	0	0.18432	0.60333	0	0.02075
Healthy	0	0	0		11.533	43.47845	0	0	0	0.64383	7.68274	0	0.13631	0
Healthy	0.03605	0.00539	0.15627		42.72847	10.37783	0.32129	0	0.06726	0	0.06627	0.00539	0	0.15627
Healthy	0	3.05251	0		74.81172	6.07036	0	0	0.10798	0	0.13293	3.05251	0	0
Healthy	2.79994	1.49991	0		13.58487	1.0229	10.2792	43.4724	0.30043	0	0.13948	1.49991	0	0
Healthy	0.02171	0.04025	0.0079		71.38515	3.04903	0.10061	0.03469	2.817	0	0.00218	0.04025	0	0.0079
Healthy	0.12942	0.12091	0		28.00834	44.59993	0.22162	0	0	0	2.63695	0.12091	2.27477	0
Healthy	0.05867	0.14055	0		44.18307	22.89878	0.33885	0	0.32375	0	0.02658	0.14055	0	0
Healthy	0.00416	0.27317	0		33.10014	21.86949	0.1535	0.63493	0.63109	0.68638	6.99111	0.27317	2.65359	0
Healthy	0.35834	0.07765	0.01532		85.82224	3.03262	0.60552	0.03989	0.04169	0	0.17487	0.07765	0	0.01532
Healthy	0.04909	0.19543	0		33.90315	35.57277	0.11169	0	0.36764	0	0.04409	0.19543	0	0
Healthy	0	0.10602	0.06537		70.51977	11.06907	0	0.04755	0.83322	0	1.27333	0.10602	3.62986	0.06537
Healthy	12.7095	0.04102	0.0115		62.9367	7.85057	0	0.89222	2.23462	0	0.02267	0.04102	0	0.0115
Healthy	0.21227	0	0.09801		33.13465	32.19017	0.03779	0.00828	0	0.65232	1.6906	0	0	0.09801
Healthy	0	0.0029	0		43.91144	29.09286	4.06115	0	0	0	0.13657	0.0029	0.94659	0
Healthy	0	0.1261	0		69.10783	0.94561	0.06093	0	0.02525	0.01411	0.52483	0.1261	0	0
Healthy	0	0.24638	0.03777		22.25656	31.45204	1.64715	10.2982	0.25774	0.58046	0.63958	0.24638	0	0.03777
Healthy	0.09326	1.21051	2.2151		13.31218	26.45028	0.40844	0	0	3.28183	9.54612	1.21051	5.59783	2.2151
Healthy	4.82061	0.02509	0		67.98188	5.21396	0	0	6.01844	0	0	0.02509	0	0
Healthy	0	1.74519	0		55.93334	5.93984	0.21949	0	0.08297	0.20356	0.02318	1.74519	0	0
Healthy	0.12044	0.38301	0		50.09099	16.30264	0.102	0.03792	1.54425	0.07783	1.27484	0.38301	0	0
Healthy	0.09329	2.10498	1.24703		9.77201	49.96242	0.0753	0	0	0.0354	12.93595	2.10498	0.32028	1.24703
Healthy	0	0.14463	0		49.84518	0.79012	0.09194	12.3729	0.13831	0	0	0.14463	0	0
Healthy	0	0	0.03032		85.64382	4.16175	1.75907	0	0.98994	0	0.02979	0	1.28601	0.03032
Healthy	3.85088	1.24155	0		27.67924	23.46814	0	0.00277	1.49689	0	0	1.24155	0	0
Healthy	0	0	0		28.03494	48.04604	0.06126	0.70351	0	0	0	0	0	0
Healthy	12.1143	1.80325	0		9.82302	26.19694	0	1.23746	0	0	0	1.80325	0.27572	0
Healthy	0.02405	0.01862	0.37331		42.51116	16.14362	0.03357	0	0	0	0.73564	0.01862	3.9126	0.37331
Healthy	0	0.58449	0		78.21362	5.01792	0	0	0	0.09233	0.20685	0.58449	0.07944	0
Healthy	1.7791	0	0		32.48435	33.39352	3.11775	0	0	6.53455	0	0	0	0
Healthy	0.02851	0.05074	0.05455		24.37262	42.68353	0.1379	0.10576	0.56031	0	0.18382	0.05074	0	0.05455
Healthy	0.04973	0.10742	0		25.24072	52.38186	0.8832	0	2.29366	0	0.01604	0.10742	3.90432	0
Healthy	9.23712	0.23506	0		77.14817	1.82898	0.25725	0	0.02592	0	0.08464	0.23506	0	0
Healthy	1.89676	0.01832	0.01811		28.96809	22.67106	0.01154	0.11581	0.89833	6.73	0.22791	0.01832	0	0.01811
Healthy	6.04788	0	0		67.93963	3.35925	0	0	0.1559	0	0.29707	0	0	0
Healthy	0	0	0		6.90874	4.30578	0	0	0	0	0	0	0	0
Healthy	0.03376	0	0.00252		91.15794	1.12383	0.4381	0	0.38966	0	0.17387	0	0	0.00252
Healthy	0.37411	0.22944	0		64.28467	6.54934	0.12452	0	1.51147	0.20474	0.01542	0.22944	0	0
Healthy	2.31376	0.2881	0.31638		34.19164	15.66101	1.34731	0.2178	0.01562	0	0.76407	0.2881	0	0.31638
