g	Phytobacter	Acinetobacter	Pseudomonas_E	Leclercia	Serratia	Veillonella	Staphylococcus	Longicatena	Bacteroides	Phocaeicola	Alistipes	Faecalibacterium	Agathobacter	Parabacteroides	Roseburia	Mediterraneibacter	Enterocloster	Blautia_A
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.501147893088	1.49350977287595	-0.195090837687287	0.81513991291971	-5	0.763932380692665	-0.338622773360253	-0.832800856702248	-0.482658921477008	-1.21204387671607
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.56992701932842	1.08041758577002	-0.046278956881365	0.905097210529146	-5	0.825333276588013	-0.219898808532088	-0.758005510843219	-0.391880639287403	-1.0959339480855
Healthy	-1.32734807716	-5	-5	-5	-5	-1.55268689117643	-5	-5	1.00441854167705	1.43777829972089	-0.0597824444002649	1.08766466773536	1.22462654110084	-2.51570016065321	0.387694081853469	-0.641189827541437	-1.25900606841511	-0.553493899451059
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.38747596473399	0.87053733375855	1.38642708252764	0.550455839306529	0.056031575371879	0.801658174557992	0.786690389547674	-2.25258819211358	-5	-1.05295859474478
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.61433828213201	1.18842165178621	0.389998422607333	0.670421205824893	-0.109841761335578	0.781344574733547	0.528888431669489	-0.335254633303783	-5	-1.33847125986802
D007234	1.60850902515976	1.06698562622918	0.728102061816012	-2.79317412396815	-5	0.0585664641234095	0.600177594069011	-2.13786862068696	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	-5	-0.264976282541311	-1.18058768879067	-1.39254497678533	-1.48148606012211	-1.48611681438891	-1.41027374374576	-1.82073553566097	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.37892762885637	-5	-5	-5	-5	-5	-5	-5	1.0875734459901	0.0508049478134604	1.23214853660985	0.645991784453664	-5	0.718817952646753	-5	-1.08170748724464	-0.180883989475869	-5
Healthy	1.89599796400921	-0.235248677675379	-5	-1.94730605807503	-2.59345981956604	-5	-5	-2.67778070526608	-0.035886573877302	-0.101488728213257	-0.797266541954557	-5	0.496281872803707	-1.66294027367948	-5	-0.169475485902742	-1.38310457359924	-0.925951930937367
Healthy	-0.441783588718997	-5	-5	0.165719029800832	-5	-2.09636748391576	-5	-2.26280735729526	1.65282359787165	1.26282612970281	-5	0.821903759535621	-0.002735969310188	-5	1.04602745094753	-2.17522353752445	-1.00877392430751	-2.31785492362617
D007234	-5	-5	0.957177568304955	-5	-5	1.71139981313583	-5	0.450604714554838	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.357637596441834	-5	-5	-5	-5	0.447449531216058	-5	-5	1.67977582878473	0.498400160866406	-5	0.9678254055063	1.15795847067473	-5	0.452957297417945	-1.45842075605342	0.00493153719820587	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.677584142537347	1.10480315720763	-0.63667012111284	1.39197739792622	0.239857320530141	-5	0.233201780123543	0.221646321218309	0.33510671238707	-0.140033548984077
D007234	0.807806884368401	1.3257087542256	1.4321160501785	1.24989291753949	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	-5	-5	0.927441712890449	-5	-5	-5	-2.3767507096021	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.15645578805436	-5	-5	-5	-5	-5	-0.242368665577062	0.724538006009474	0.0922889421366088	-0.210243067714714	1.20651852418563	-5	-0.569280112136718	0.11164554571262	-1.92738252345476	-1.03848398855105	-0.0431691033746452
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.28081093333005	0.255884910887459	-1.45804652554176	0.414040283589739	0.397378537412831	-5	0.262946804235384	0.290704467012227	-0.0994417145904625	-0.177531158140587
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.12729338382307	0.615641835089172	1.18075104998272	0.89849097230673	-0.253459207769288	-0.134280273454573	-0.111758709193886	-1.02942069428515	0.318555812829703	-0.525201181199369
Healthy	-0.524561272262897	-0.0163692030911767	-5	-0.382789905442566	-5	-5	-5	-5	-0.150623587785581	0.218440968922311	0.455569602929721	0.609416173200149	-0.249661344861981	-0.0723114762505718	-0.0144837121472846	-1.41397561761302	-0.297121612940501	-0.922959301657539
D007234	-1.7956086680807	-0.897394805873433	0.3415077252235	1.45752326660037	1.0575980261468	-1.85823676972421	-0.454284764303686	-3.49485002168009	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.00429127312198067	-5	-5	-5	-5	-5	-5	-1.93255715722362	1.48285415421048	0.818350619861696	1.29401207389282	0.0531130319320142	-1.21176090261783	0.800739754459203	-1.32966135887256	-1.82217502813532	-1.21077194273266	-1.30900696790013
Healthy	-0.951519352526498	-5	-5	-5	-5	-5	-5	-5	0.98253354005845	0.0297691951726674	1.15566300187679	-0.0829305792347736	-5	0.59983287433314	-1.01786450519623	-2.20690839982342	-5	-0.486915639534856
Healthy	-5	-5	-5	-5	-5	-5	-5	-0.278890425265589	1.22929267117641	0.283852794207906	-0.37217346208207	1.00105882106432	-2.5016894462104	0.0283271984675687	0.05416857533208	-0.978686634515305	1.03048354378457	0.439512691327675
Healthy	-5	-5	-5	-5	-5	-1.88306035344924	-5	-5	1.55312842166648	1.02485453816743	1.14612493356372	0.584625178418518	0.732155636837661	0.695914004528003	0.287353772714747	-0.127383444216781	-0.407290420353183	-0.623131178361331
D007234	1.89807055982851	-5	-5	-5	-2.03058408764602	-2.88272870434424	-0.527799569434398	-5	-5	-2.17327747983101	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.210673170492743	-5	-5	-5	-5	-5	-5	-5	1.32067418359967	0.750181200829731	0.928316975577585	0.596038200470449	0.0979060101708048	-0.0156122233595621	-1.07216786713342	-0.431833490426739	0.13384216993296	-0.410843794106908
