group	Ruminococcaceae	Marinifilaceae	Erysipelotrichaceae	Enterobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Pasteurellaceae	Veillonellaceae	Eggerthellaceae	Micrococcaceae	Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	1.42733	0	0.04651	0	0	0	0	0	0.02643	0	7.21136	0	0.01411	2.78245	0	0.20882	0.04979	0.05044	0.02643	0
Healthy	1.45529	0	0	4.2841	0.01292	0	0	0	0	0	0	0	0	0	0	0	0.08548	0	0	0
Healthy	11.38099	0.92049	0.14758	0	0.34776	0	0.01667	0	0.00714	0	10.80823	0.49975	1.21706	1.35632	0	0.12154	0.08577	0.10707	0.00714	0.07048
Healthy	31.38395	0	0	0.27184	0.10367	0	0.20553	0.52418	0	0	0	0.25985	0.62783	0	0	0	0.24252	0	0	0
Healthy	0.55691	0	0	2.0968	0	0	0	0	0	0	11.04018	0	0	3.09629	0	0	0.2224	0.03142	0	0
Healthy	7.30624	0	0	0	0	0	0	0	0	0	0.61666	6.32555	5.62249	1.05966	0	0	0	0	0	0
Healthy	16.07999	0.39279	0.12328	0.09698	0.01797	0	0	0.00396	0.00932	0	5.54226	1.73318	0	0.15532	0.18576	0.15766	0.10294	0.08154	0.00932	0
Healthy	4.35091	1.30125	0	0.02507	0	0	0	0.46112	0.15579	0	16.91879	0.12041	0	1.08183	0	0.09721	0	0.55816	0.15579	0
Healthy	10.34978	0	0	1.49435	0.34649	0	0	0	1.54102	0	4.64923	10.8039	0	1.28148	0.11191	0	0	0	1.54102	0
Healthy	0.39654	0	0	0	0.45334	0	0	0	0	0	0	0	0	0	0	1.31584	0	0	0	0
Healthy	1.46969	0	0.53907	0	0	0	0	0	0	0	0.94071	0	0	0	0	0	0.26918	0	0	0
Healthy	25.29761	0	0.1903	0	0	0	0	0	0.08408	0	9.92768	0.55688	0	0	0	3.60873	0.0678	0.19041	0.08408	0
Healthy	0.00433	0	0	55.0788	0.00532	0.23549	0	0.03501	0.0026	0.11153	0	0	0	0	0	0	0	0	0.0026	0
Healthy	3.22833	0	1.18442	0.57325	0	0	0	0	0	0	21.54638	0	0	0	0	0.78351	2.41601	0	0	0.07552
Healthy	7.11176	0	1.65472	0	0.7126	4.42379	0.91179	0.46493	0.00383	0.00583	5.53874	0.24502	0	1.3095	0.20726	0.41707	0	0	0.00383	0
Healthy	1.23252	0	0.73283	33.3132	0	0	0	0	0	0	0.00185	1.96572	0	0.78884	0	0.00433	0.04376	0	0	0.03296
Healthy	1.69264	0	1.85933	5.37164	0.02733	0	0	0	0	0	0.57648	2.58388	0	0.42416	2.44739	0	0	0	0	0
Healthy	2.88207	2.40498	0.06299	0	0.04903	0	0	0	0	0	13.58558	1.49656	0	1.96991	0.00825	0.64273	2.63969	1.21704	0	0
Healthy	0.76115	0.43982	0	0	0.21686	0	0.09139	0.0235	0	0	1.15881	0	0.36575	1.05127	0.21268	0	0	0	0	0.04616
Healthy	0.10161	0	0	1.15581	0	0	0	0.89971	0	0	0	0	10.166	0	0	0	0.00677	0	0	0
Healthy	14.5544	0	0.00331	0.00483	0.0318	0	0.0471	0.00247	0.00709	0	0.02801	0	0.21431	0	0	0.46959	0.00176	0	0.00709	0
Healthy	8.48485	1.2285	0.04376	26.8642	1.27155	0.20169	0.01153	0.01516	0.2489	0.01325	6.75317	0.33886	0	2.89475	0	0.8622	0.01155	0.0392	0.2489	0
Healthy	1.79093	1.44785	0	0	0	0	0	0	0	0	25.16108	2.00529	0	0	0	0.1628	0.03959	0.0151	0	0
Healthy	9.8181	0.12029	0.00415	0.18994	0.4968	0.1088	0.57161	0.13564	0.00141	0.00101	1.43902	0.01538	0	0.52702	0	0.59158	0.00501	0	0.00141	0.00196
Healthy	3.42493	0.99503	0.00808	0	0.05237	0	0	0	0	0	10.13026	0	0	0.79806	0	0.22282	1.28496	0.33033	0	0.01366
Healthy	9.96325	0.5255	0.07986	1.84899	8.13615	0.07247	0.25338	0.2242	0.01142	0.02079	2.82233	10.99563	0	0.83378	0.79834	1.02795	0.01016	0.07805	0.01142	0.03313
Healthy	44.3123	0	0	0	0	0	0	0	0.89561	0	6.86182	3.49728	0	0	0	0.90246	0	0	0.89561	0
Healthy	5.07443	1.15652	0.03735	0.09832	0.03648	0	0	0	0	0	17.3234	0.10545	0	2.03364	0	0.03568	2.80825	0.0016	0	0.33205
Healthy	3.78617	0.93643	0.06825	0	0	0	0	0	0.06162	0	32.47975	0.35928	0	2.7135	0	0.0603	0.35053	0.40904	0.06162	0.10525
Healthy	2.97653	0.39453	0.8809	9.39904	0.01927	0.0581	0	0.22665	0.06985	0.00982	19.9503	3.61899	0	4.25885	0.07517	0.58354	0.25382	0.18958	0.06985	0.03318
Healthy	0.80297	0	0.02311	0.38656	0.20842	0	0	0.02526	0	0	0	0.39264	3.56415	0	0	0.13178	0.13158	0.00253	0	0
Healthy	0	0	0	2.90482	0.07356	0	0	0	0	0	0	0.04091	0	0	0	0	0.45575	0.0383	0	0
Healthy	6.18389	2.24413	0.02486	0.09232	0.00636	0	0.0422	0.03051	0.03016	0	13.64793	0.63795	0.35415	5.56533	0.17643	0.15204	0.16672	0.13826	0.03016	0.40654
Healthy	6.07336	1.48008	0.36328	5.3394	0.01463	0.00271	0	0.00921	0.05899	0.00036	6.54158	2.62589	2.02896	8.0343	3.08044	0.00031	0.06471	0.35495	0.05899	0
Healthy	1.69158	1.43627	0	0	0	0	0.00402	0	0	0	23.62284	1.97063	0	0	0	0.1128	0.03207	0.02838	0	0
Healthy	6.1481	0	1.03495	0.00681	0.09888	0.08429	0.001	0.01218	0	0	2.21498	0.0976	0	7.4203	0	0.29588	0.42658	0.37016	0	0.06417
