group	Lachnospiraceae	Ruminococcaceae	Streptococcaceae	Veillonellaceae	Lactobacillaceae	Pasteurellaceae	Oscillospiraceae	Eggerthellaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
D015212	32.95936	14.34433	0.12744	0	0	0	0.08816	0.03004	0.09466	0	32.95936	8.16231	0	0	0	0.00869	0.12744	0.19761	0	0
Healthy	13.98492	5.66478	0.9221	1.2947	0	3.85851	0	0.0955	0	1.16392	13.98492	1.62392	1.33345	0	0	0.0586	0.9221	0.86835	0	0
Healthy	22.45504	14.94631	0.15545	0	0	0.00058	0.12738	0.49385	1.22214	0	22.45504	5.21067	14.60672	0	0.62205	0.09116	0.15545	0.98615	0	0
Healthy	25.21853	8.10271	0.38092	0.05609	0.00868	0.14273	0.06706	0.18648	0.04188	0.28618	25.21853	6.3769	4.71234	0.88276	0	1.77066	0.38092	0.07916	0.00868	0
Healthy	29.12875	5.37472	0	0	0	0.19515	0.02712	0.01904	0	0.05986	29.12875	4.58862	6.0946	0	0	0.1002	0	0	0	0
D015212	12.96877	2.54512	0.04024	0	0	0.00724	0.6139	0.33553	0.02973	0	12.96877	23.56184	0	0	0	0.00954	0.04024	1.36269	0	0
Healthy	20.95243	1.35423	0.8025	0	0	0.81232	0	0	0.22354	0	20.95243	0	4.21521	0	0.20778	0	0.8025	1.5817	0	0
Healthy	38.42361	2.67302	0.20201	0	2.24067	0	0	0.51527	0	0	38.42361	4.0178	0	0.0911	4.13991	0.16065	0.20201	0.05851	2.24067	0
Healthy	35.15934	0	1.28005	6.23289	0	0.32966	0.04332	0.03904	0	0.01366	35.15934	0	0	3.81252	0	0.00158	1.28005	0.07394	0	0
Healthy	22.27209	8.95456	0.23032	1.20495	0	0.44799	0	0.13451	0.05781	0.17413	22.27209	0	0	0.47522	0	1.67502	0.23032	0.00254	0	0
Healthy	0.65685	2.58941	0.0582	0	0	0	1.13938	0.0223	0	0	0.65685	21.39859	2.25608	0.34649	2.14547	0.01275	0.0582	0.49025	0	0.11682
Healthy	6.95679	0.93829	16.77604	0	0.39151	0	0	0	2.91725	0	6.95679	2.14488	1.28553	2.71161	0	0	16.77604	1.19138	0.39151	0
