group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Coriobacteriaceae	Akkermansiaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	25.21853	8.10271	0.24421	4.71234	0	0.00699	1.22966	0.07916	0.00868	0.04188	37.40606	25.21853	8.10271	0.24421	4.71234	0.00699	1.82276	0	1.22966	0.18648
Healthy	29.12875	5.37472	0	6.0946	0.31569	0	0	0	0	0	44.30969	29.12875	5.37472	0	6.0946	0	0	0.31569	0	0.01904
Healthy	20.95243	1.35423	0	4.21521	0	0	3.19845	1.5817	0	0.22354	57.65788	20.95243	1.35423	0	4.21521	0	0	0	3.19845	0
Healthy	38.42361	2.67302	0.26781	0	3.24867	0	0	0.05851	2.24067	0	10.76303	38.42361	2.67302	0.26781	0	0	3.06148	3.24867	0	0.51527
Healthy	35.15934	0	0	0	0	0	0	0.07394	0	0	0	35.15934	0	0	0	0	0	0	0	0.03904
Healthy	22.27209	8.95456	0.18712	0	0	0	0	0.00254	0	0.05781	22.0643	22.27209	8.95456	0.18712	0	0	0	0	0	0.13451
D009765	12.37801	0	0	0.21483	0	0	0	7.41206	0	0	54.79495	12.37801	0	0	0.21483	0	0	0	0	0
Healthy	0.65685	2.58941	1.20908	2.25608	0.6914	0.13239	0.06831	0.49025	0	0	15.46975	0.65685	2.58941	1.20908	2.25608	0.13239	0	0.6914	0.06831	0.0223
Healthy	6.95679	0.93829	1.62673	1.28553	2.27129	0	2.97004	1.19138	0.39151	2.91725	15.45515	6.95679	0.93829	1.62673	1.28553	0	0	2.27129	2.97004	0
Healthy	10.2726	8.27035	0.43785	0	0	0	0	0	0	0	58.28202	10.2726	8.27035	0.43785	0	0	0	0	0	0.11806
Healthy	6.52439	0.71987	35.20264	5.52631	1.0791	0.03307	0	0	0	0.02407	19.05947	6.52439	0.71987	35.20264	5.52631	0.03307	0	1.0791	0	0
Healthy	17.31738	17.86356	5.45267	0.00231	4.32512	0	0	1.14247	0	3.67433	14.09378	17.31738	17.86356	5.45267	0.00231	0	0	4.32512	0	0.00776
D009765	11.0173	5.34283	8.44935	4.01221	5.27964	18.9474	0	0	0	0	18.43801	11.0173	5.34283	8.44935	4.01221	18.9474	0	5.27964	0	0
