group	Bacteroidaceae	Enterobacteriaceae	Dialisteraceae	Veillonellaceae	Oscillospiraceae	Erysipelatoclostridiaceae		Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	48.96534	0.20678	0	0.0216	0	0		2.42525	5.29828	0	0.84195	0	0.06525	0	0	0.01596	0
Healthy	24.02211	0	0	0	1.1756	0		15.48183	0.13817	0	3.16073	0	0.06576	1.1756	0.03259	0	0
Healthy	36.38684	2.24934	0	0	0.22674	0		11.91998	0	0	3.2257	0	0	0.22674	0.05179	0	0
Healthy	17.55872	0	0.31288	0	0	0		3.5365	1.21739	0.31288	1.6003	0	0	0	0	0	0
Healthy	19.20653	0.95059	0	0.06109	0	0.61175		0	0.08778	0	0	1.04804	2.23707	0	0	0	0
Healthy	33.96172	0	0	0.00798	0.1671	0		20.64833	0	0	2.52544	0	0.03354	0.1671	0.14748	0.12817	0.04974
Healthy	34.33413	0	0	0	0.14851	0		20.54015	0	0	2.66486	0	0.021	0.14851	0.14814	0.17511	0.0581
Healthy	31.31901	6.53906	9.44246	0	0.04175	0		21.36368	0.70106	9.44246	5.26648	0	0.02368	0.04175	0.33399	0	0
Healthy	39.69588	0	0	0.15883	0.07574	0		17.96179	1.82117	0	0	0	0	0.07574	0	0	0
Healthy	45.83419	0	0.23887	0	0.00191	0		9.38631	0.40013	0.23887	0	0	0.00925	0.00191	0	0	0
Healthy	30.36264	2.62146	0	0.56786	0.00369	0.12614		2.12241	0	0	0	0	0	0.00369	0	0	0
Healthy	6.18765	0	0	0	0	0		7.76484	27.1605	0	1.09078	0	1.21596	0	0	0	0
Healthy	67.43067	0	10.1396	0	0	0		1.48742	0	10.1396	0.11792	0	0	0	0	0	0
Healthy	36.04502	0	0	0.00816	0.14699	0		20.42703	0	0	2.64309	0	0	0.14699	0.20481	0.13351	0.04371
Healthy	73.39272	1.79721	0	0	0.99271	0		1.45904	0.14612	0	2.63282	0	0	0.99271	0.10238	0	0
Healthy	49.43761	0	0	0.21553	0.07683	0		5.12765	6.81986	0	4.17797	0	0.21112	0.07683	0.01272	0	0.02128
Healthy	17.27951	0.03177	0	0	0.10028	0		21.0148	2.11855	0	6.67597	0	0.03176	0.10028	0.97352	0.09891	0.04795
Healthy	60.56874	5.33933	0	0	0.52412	0		2.62995	0.54528	0	0	0.54418	0	0.52412	0.06167	0	0.09757
Healthy	15.57342	0.50252	3.0011	0	1.18914	0		21.02381	2.16454	3.0011	2.06633	0	0.74854	1.18914	0.65801	0.01712	0.1186
Healthy	32.11202	0.06854	9.76822	0.02628	0.06997	0.16383		4.03623	0.0956	9.76822	0	0	0	0.06997	0.06499	0	0.14676
Healthy	49.67118	0	0	0	0.349	0		5.19495	2.43968	0	0.08498	0.24888	0	0.349	0.05635	0	0.07789
Healthy	25.9085	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
