group	Oscillospirales	Enterobacterales	Pseudomonadales	Peptostreptococcales		Bacteroidales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Desulfovibrionales	
Healthy	6.99823	3.85851	0	1.16392		22.77193	1.49325	0	0.0586	0	0	
Healthy	5.03267	0.37113	0	0		76.63304	9.09907	0	0.02805	0	0.01044	
Healthy	9.96034	1.0041	0	0.21255		45.48252	0.9075	0	0.00403	0	0	
Healthy	29.68041	0.00058	0.32517	0		10.42839	0	6.51919	0.09116	0	0.00355	
Healthy	8.2556	0.02894	0	0		66.78557	0.3738	0.63345	0.01246	0	0.08483	
Healthy	12.88211	1.02549	0.0872	0.28618		44.35637	0.05609	0.00699	1.77066	1.82276	0.01117	
Healthy	11.49644	0.19515	0	0.05986		50.42891	0	0	0.1002	0	0	
Healthy	15.86965	0.16205	0.0074	0		63.94943	0.0068	0	0.31437	0	0	
Healthy	0	2.9113	0	0.29111		30.0198	0	0	0	0	0	
Healthy	0.09952	0	0	0		61.69048	0	0	0	0	0	
Healthy	5.56944	0.81232	0	0		57.9843	0	0	0	0	0	
Healthy	11.63338	0	0	0.00748		5.40398	0	0	0.09599	3.42295	0.19699	
Healthy	2.67302	0.0911	0.42465	0		19.00735	0	0	0.16065	3.06148	0	
Healthy	0.04332	4.14218	0.06891	0.01366		0	6.5513	0	0.00158	0	0	
Healthy	7.88627	0.06871	0	0.01238		45.86689	0.84037	0	1.40404	0	0.01015	
Healthy	6.22775	0	0	0		72.28686	0	0	0.02892	0	0	
Healthy	8.95456	0.92321	0	0.17413		22.0643	1.21693	0	1.67502	0	0	
Healthy	6.99849	0	0	0		44.13677	18.00399	7.1259	0.2694	0	0.13413	
Healthy	37.29901	0	0	0		15.68105	0	0.00548	0.24799	0	0	
Healthy	1.11976	0.06494	0	0		92.17976	0	1.8733	0.53159	0	0	
Healthy	5.98487	0.34649	0	0		45.26359	2.97255	0.13239	0.01275	0	0.66408	
Healthy	10.43286	0.10871	0	0		61.21567	0	0	7.35104	0	0	
Healthy	2.22382	2.71161	0	0		18.16766	2.40822	0	0	0	0	
Healthy	5.36951	1.20757	0	0		45.81514	0.05853	0	1.98576	0.07196	0.1381	
Healthy	8.33474	0.07952	0	0		63.72663	0.05662	0	0	0	0.06978	
Healthy	12.34472	0.039	0	0		11.94756	6.15992	0.69784	0.48374	1.31778	0	
Healthy	4.28419	0.05673	0	0.1229		60.09151	0.02472	0	0.09344	0	0	
Healthy	6.31917	0.08088	0	0		31.15761	12.9858	0.03307	0.0234	0	0.00756	
Healthy	17.86587	0.16148	0.06946	0.25		21.40224	4.61753	0	0.08772	0	0	
Healthy	6.67867	0	0	0		6.10528	8.03066	0	0	0	0	
Healthy	6.01991	10.2181	0	0		13.2891	2.60171	43.9894	0.28406	0	0.45505	
Healthy	3.27751	0.04867	0	0		84.30083	1.32785	0	0	0	0	
Healthy	22.24027	0.03647	0	0.0213		39.73911	0	2.98314	0.17413	1.67696	0.1039	
Healthy	4.69076	0	0	0		65.75268	0	10.41	0.09557	0	0.33848	
Healthy	1.32782	0	0.02759	0		56.41676	15.7034	0	0.24725	0	0.0425	
Healthy	5.45286	1.23047	0	0		46.58744	0.0719	0	1.85884	0.05882	0.13362	
Healthy	4.41348	0.04098	0	0		59.46027	0	4.66138	0.1233	0.16213	0.77618	
Healthy	0.5735	0.05146	0	0.13353		56.5792	7.47465	0	0.81636	0	0.0132	
Healthy	17.61636	0.06381	0	0		46.11877	5.94604	0.10078	2.51045	0	0.00124	
Healthy	0	0.00203	0	0		97.67362	0	0.00431	0	0	0	
Healthy	1.86091	0.06157	0	0		70.63059	5.89113	0	0.11666	0	0	
Healthy	8.52155	0	0	0		45.27481	0	3.29025	0.8243	2.94825	0	
Healthy	8.14725	0	0	0		29.47014	0	23.1101	0.01818	2.14605	0.65749	
Healthy	6.73183	0	0	0.00258		44.41535	17.72904	7.09147	0.27735	0	0.1094	
Healthy	3.63925	0.0175	0	0		36.30805	0.00465	0	0.00491	0.02465	0	
Healthy	30.65601	0	0	0.92052		18.17723	5.0839	0	0	0	0	
Healthy	3.37303	0	0	0		42.50091	0	0	0	0	0	
Healthy	0.35904	1.20807	0.03605	0		85.49418	0	0	0	0	0	
Healthy	1.47712	0	0	0		63.68496	0.01411	0	0.17416	0	0.05044	
Healthy	1.54077	4.2841	0	0		92.81289	0	0.55019	0	0	0	
Healthy	1.57069	4.1579	0	0		92.94877	0	0.55513	0	0	0	
Healthy	11.96651	0.01667	0	0		49.73983	1.21706	0.38836	2.54517	0	0.10707	
Healthy	3.66406	0.08687	0	0		76.96651	6.3789	0	0.25053	0	0.07095	
Healthy	16.99065	0.09955	0	0		45.9343	6.95298	0.10918	2.40783	0.00287	0	
Healthy	4.5697	0	0	0		74.91638	0	0.2125	0.07875	0	0	
Healthy	31.88632	0.47737	0	0		51.54426	1.15201	0	2.10393	0	0	
Healthy	4.30219	0.04148	0	0		66.92907	6.20098	0	0.16176	0	0	
Healthy	35.51069	0.19572	0	0		11.35751	0.00341	0	0.27122	0	0	
Healthy	12.29561	0.03976	0	0		33.89588	0.22593	0	0.10037	0	0	
Healthy	3.76097	1.5362	0	0		86.92476	0	0	0.10489	0	0.09375	
Healthy	0.77931	2.0968	0	0		71.0787	0	0	0.34626	0	0.03142	
Healthy	13.63179	0	0	0		26.51604	5.62249	0	0	0	0	
Healthy	11.73019	0.18886	0	0.02318		34.73166	2.70466	0	6.00826	0.08105	0.0062	
Healthy	17.91611	0.09698	0	0		14.1769	0.00396	0.09373	0.63021	0.18576	0.08154	
Healthy	4.47132	0.02507	0	0		58.04866	0.46112	8.71159	0.51464	0	0.55816	
Healthy	18.69846	0.439	0	0		26.85938	0	1.21439	2.70131	0.4182	0.34092	
Healthy	18.90216	2.78783	0	0		1.70617	0	0	0	4.59177	0	
Healthy	21.15368	1.49435	0.22899	0		22.14347	0	0	0	0.11191	0	
Healthy	0.39654	0	0	0		0.35748	0	0	0	0	0	
Healthy	1.4528	0.36457	0	0		89.29252	3.2465	0	0.11036	0	0.00129	
Healthy	1.73887	0	0	0		80.38068	0	0	0	0	0	
Healthy	25.92229	0	0	0		20.33218	0	19.023	0.00056	0	0.19041	
Healthy	12.49876	0.1348	0	0.00694		57.19523	1.35298	1.22072	3.09391	0	0	
Healthy	0.00433	55.0788	0	0.23549		28.87276	0.03501	0.00039	0	0	0	
Healthy	4.82011	1.03393	0	0		54.53618	9.17277	7.01615	0.21952	0	0.19078	
Healthy	1.50063	0	0	0		79.23344	3.30805	0	0.23517	0	0	
Healthy	5.64434	0.57325	0	0		38.75978	0	11.9695	0	0	0	
Healthy	7.35678	0.91179	0	4.42379		29.53286	0.46493	2.81759	0.06954	0.20726	0	
Healthy	18.20949	0.42773	0	0.03313		7.31188	2.26471	4.32216	3.38681	0	0.06318	
Healthy	3.242	33.3132	1.74985	0		33.23081	0	0	0	0	0	
Healthy	4.27652	5.37164	2.00314	0		41.87328	0	0.49181	0	2.44739	0	
