group	Bacteroides_eggerthii	Bacteroides_stercoris	Dialister_invisus	Ruminococcus_B_gnavus	Bacteroides_nordii	Adlercreutzia_equolifaciens	Anaerotruncus_colihominis	Gordonibacter_pamelaeae	Longicatena_innocuum	Eggerthella_lenta	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Anaerobutyricum_hallii_A	Collinsella_sp003487125	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Roseburia_hominis	Dorea_formicigenerans
Healthy	0	0	0	0.05485	0	0	0.09404	0	0	0	0.09504	0	0	0	0	0.21317	0.10634	0.02511	0	0
Healthy	0	0	0	0.03057	0.09507	0.04992	0.01138	0.01123	0.00069	0.02293	18.3483	0	0.03732	3.60873	0	0.05127	0.02141	0.00858	1.77659	0
Healthy	0	10.2882	0	0.0105	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.73815	0	0	0.78351	1.22495	0.31106	0.41708	0	0.45542	0
Healthy	0.08027	0	0	0	0	0.00383	0	0	0	0	13.0256	0.24502	0.26443	0.41707	5.10983	0.15486	1.53919	0.34818	3.21489	0.45702
Healthy	1.60664	0	0	0	0	0	0	0	0	0	7.97763	1.96572	0.17258	0.00433	0.4649	0.31742	0.00717	0.18999	0	0.13819
Healthy	0	0.02488	0	0	0.1509	0	0	0	0	0	10.4535	2.58388	2.54507	0	0.27615	1.36649	0.25141	0.60366	0	0.13797
Healthy	0	2.87328	0	0	0.00416	0	0	0	0	0	1.4496	1.49656	0	0.64273	0.6479	0.07711	0.03155	0.02905	0.00782	0.0541
Healthy	5.33573	0.03586	0	0	0	0	0	0	0	0	4.3973	0	0.60179	0	0.33257	0.28	0.1793	0.29519	0.23483	0.14741
Healthy	43.603	0	10.166	0.27628	0	0	0	0	0	0	1.80195	0	0	0	0	0	0.20743	0	0	0
Healthy	0	0	0.21393	0.00977	0	0	0	0	0	0.00709	7.74604	0	0.45317	0.46959	0.44734	1.06858	0.15802	0.4357	0.25975	0.07974
Healthy	0	0	0	0.02066	0	0.20868	0.02768	0.03839	0.02999	0.00183	1.10025	0	3.01429	0.8622	0.1399	1.91743	0.02281	0.71833	0	0.23069
Healthy	13.7235	0	0	0	0.13995	0	0	0	0	0	1.25576	2.00529	0.0073	0.1628	0.0491	0	0.02991	0	0	0
Healthy	0	0.19882	0	0	0	0	0	0	0.00037	0	38.7322	0.00421	0.19956	0.59158	2.00065	0.36109	0.10851	0.38947	0.52726	0.49999
Healthy	0	0.78242	0	0	0	0	0	0	0	0	0.38192	0	0	0.22282	0.05866	0.12838	0.06401	0	0.43115	0
Healthy	0	4.77427	0	0.27636	0.02034	0.01142	0	0	0.00088	0	7.33956	10.9777	0.16639	1.02795	1.32363	0	0.04036	2.27022	0.24126	0.59673
Healthy	0	0	0	0	0	0.89561	0	0	0	0	7.07654	3.49728	0	0.90246	0	0	1.99748	0	0	0
Healthy	0	14.1167	0	0.08189	0	0	0.00576	0	0	0	0	0	0.01332	0.03568	0.09089	0	0.00668	0.04375	0	0
Healthy	0	3.43418	0	0	0	0.06162	0	0	0	0	0.58116	0.35928	0.0201	0.0603	0	0	0.02481	0.04747	1.36969	0.08596
Healthy	0	0	0	0.00957	0.02596	0.02265	0	0.04661	0.00513	0.00059	0.83227	3.5316	0.39557	0.58354	1.14079	0.20575	0.06565	0.06503	0	0.00404
Healthy	57.7019	0	3.56415	0.00801	0	0	0.33789	0	0	0	0	0	0.00928	0.13178	0	0.00162	0.14083	0	0	0
Healthy	13.7988	0	0	0.02072	0	0	0	0	0	0	0	0	0	0	0	0	1.25518	0	0	0
Healthy	0	0.03032	0.35415	0	0	0.03016	0.04265	0	0	0	2.04603	0.63795	0.04734	0.15204	0	0.0404	0.17724	0.1027	0.50365	0
Healthy	0.02492	0.00793	2.02896	0.00157	0	0.04885	0	0.01014	0.00306	0	0.05495	2.58533	0.01762	0.00031	0.19546	0	0.55596	0.11723	0.08151	0.00505
Healthy	12.8006	0	0	0	0.09425	0	0	0	0	0	1.22578	1.97063	0.01828	0.1128	0.05462	0	0.03631	0.00329	0	0
Healthy	0.01315	0.96243	0	0	0	0	0	0	0	0	3.37257	0	0.6216	0.29588	0.87992	0.9476	0.02615	0.24514	0.47695	0.50902
Healthy	0	0	0	0.037	0.086	0	0	0	0	0	10.1396	0.66444	1.08564	0.03785	0.72787	0.32056	0.05191	0.57152	0.15647	0.68709
Healthy	0	1.58346	0	0	0	0	0	0	0	0	6.52916	3.92368	1.43622	1.00364	0.04296	0.22981	0.81629	0.50349	0	0.05316
